,Rb,Ba,Th,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Ti,Nb
ODP0129-0801C-001R-005/033-038,2.0948277163513644,2.8776720521933914,0.7823001784881263,1.0045470925155418,1.0416411060147506,0.7990063900432075,0.8450286257310493,2.491946784398789,0.8423897115454673,0.8359124181534677,1.0388724243256648,1.3361889574832855,1.2638230837442868,0.9726307688008484,0.7028739329590274,1.5759818344531402,1.0507850136498824,0.6857874322538933,1.0,1.0,1.0
ODP0129-0801C-002R-001/112-118,1.9923521100884622,1.20550621830558,0.759212711048784,0.7800995607196428,0.9163762401461285,0.865915121928821,0.9528355735982411,1.5311020795691221,0.8542237028215647,0.9171015023505191,0.9989447744574494,1.283040933863598,1.547193311642544,0.9627259369448069,0.6156367414718895,1.362886531736997,1.1895075252879996,0.7295237936723347,1.0,1.0,1.0
ODP0129-0801C-002R-003/114-119,2.1757065787337484,1.3552917932453075,0.7934193522543312,1.1155330187020698,1.1789031985868779,0.7521091217473239,0.9005924007158965,0.4798926154597598,0.8991295810304853,0.725717632427551,0.9775074706081083,1.0473281955712321,1.1868836489293004,0.9606117133042159,0.655194546909651,1.3684031179217455,1.1483364449818434,0.6353895379340101,1.0,1.0,1.0
ODP0129-0801C-002R-004/071-076,2.0743008999306847,1.2905902585936273,0.7752603150194017,0.8355083433287878,1.0784109469717593,0.8392127623452644,0.9875342254793559,1.024312443502709,0.8890055679416675,0.9156928311663093,1.0484368398780468,1.257464323723589,1.5466660927959184,0.972683515984052,0.7411870703945895,1.3298726486021168,1.0375472015828333,0.7317010466229826,1.0,1.0,1.0
ODP0129-0801C-005R-001/103-105,112.41048618218849,14.984515684170937,0.6514985453322542,8.355711299373052,58.908335529788125,0.7354990855033872,0.8142488055497704,2.396460404122692,0.89991593677325,1.2507935440028584,0.8310419262396268,0.5910886952830029,0.5559444058791332,1.0403641831737893,0.24283341608107356,0.5873440425225522,0.19812036303832592,0.4352166766269076,1.0,1.0,1.0
ODP0129-0801C-005R-002/087-089,31.98484695202796,1.3418706989905578,0.5754824777291317,3.018162528430321,6.706586582445093,0.646942610715353,0.7818867725541022,3.54352637199563,1.9616704275148225,0.884242823299413,0.6905012210529424,0.6468423639525884,0.6268471006054559,0.9041444624287163,0.38915914885186814,1.3372143707374378,0.21453541241507365,1.1579725355635082,1.0,1.0,1.0
ODP0129-0801C-005R-003/038-043,1.858149970215823,0.3747179737994786,0.43253100954588547,1.612896039303574,0.2858566757685874,0.3904445369766415,0.519360979787566,2.4357140815319966,1.2674210219529731,0.8154193376006696,0.9473822193370304,0.834482670523458,0.8351626611617671,0.9272299951814658,0.5982129860889088,1.2395918091217388,0.6116927232620945,1.1666212084603214,1.0,1.0,1.0
ODP0129-0801C-005R-003/125-131,23.672936649052634,2.606736339727205,1.8026424441902398,11.081018121610866,5.2529041669353855,1.7741128812059113,1.3976682882662785,6.900948903336579,0.7170724379986537,1.5982061236278278,1.9215424029877606,1.7829907238643061,2.0090513578820888,0.9050174146048369,0.5389387112845678,0.5031095013574068,0.5016472457279769,0.6749488017362398,1.0,1.0,1.0
ODP0129-0801C-006R-002/029-034,2.998746332289677,0.21032584877232277,0.23161447050244646,1.6733109563500483,0.3030575969168033,0.3107679774458492,0.42165905997688496,2.734164514469239,0.9343935081718986,0.7552799740163624,1.0958357454037064,1.08369047782557,1.0777142684419527,0.9302638887415807,1.1898354681604069,1.0062200299596809,0.49394909359248856,1.0476244966043524,1.0,1.0,1.0
ODP0129-0801C-006R-002/119-124,1.3585045186170988,0.1263074180718884,0.09760561696705057,0.16212740371164666,0.1280431822351763,0.40126482384613404,0.49164508159575243,2.4653258979574537,0.9338628907330307,1.0094309670593238,1.1576675948668673,1.0932329542867638,1.2747157830659996,0.9385165789300478,0.9447173838170471,1.1786416626327296,0.09444964162996497,1.2325722856662717,1.0,1.0,1.0
