Sample ID,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Hf,Hg,Ho,I,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,Unnamed: 0,Top Depth (m),Bottom Depth (m),Depth,Sample Pair,Sample Pair ID,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,TOTAL,FeO,Fe2O3,Ge,Coment,T Dep,B Dep,vesicles (%),Total Secondary mineral (%),Celadonite(%),Saponite (%),Fe-OX (%),Carbonate (%),Chalcedony (%),Zeolite (%),Quartz (%),DataBase,SAMPLE_INFO
329-U1365E-7R-3-W 0/2,,,,,,6.494966936852204,,,,,,,2.312922024870903,,,59.57569595791344,,3.8382371141420677,3.6290119659015483,4.296162131519274,,,3.861203754106975,4.199208501351166,,3.632874916358482,,,65.08317115479753,2.0575774589311706,21.5805453200062,3.449276307767998,,,,,,0.9397698104159555,3.7172762357871596,,,3.410899974556795,14.11690518445796,,2.8863853100527073,,30.74828536255452,,,,,,,,,3.789857229685278,2.434908571463831,5.345497630331754,,3.9873254883646836,,0.32464425193352237,3.688208569824256,,3.6594515933844285,5.174018276994052,,,3.1165870747078404,3.5261240321071265,,3.136607142857143,31.0,102.35,102.37,102.36,F9,,45.49,0.8,19.93,7.72,0.07,4.57,11.513229018492176,2.01,1.96,0.07425,5.817672930827783,99.95515194931995,2.0799056286672264,5.408993745925304,4.68698442517144,,102.35,102.37,<0.1,58.0,,34.0,14,10,,,0.2,South_Pacific,Seafloor altered basalt
329-U1365E-7R-3-W 2/4,,,,,,33.90850717281791,,,,,,,2.0720073742035234,,,82.3613421317228,,3.480738259370476,3.304784308654322,3.892245905195791,,,3.2290664689422712,5.053158613106955,,3.2402042611214097,,,233.43606796848294,3.821118339865457,23.173108401305054,3.692533357746161,,,,,,1.1714220725440265,3.689324149014594,,,2.8424166454639956,17.267241580606473,,3.180083859995732,,66.92756515427826,,,,,,,,,3.5658373286251437,2.574124010267906,6.127488151658767,,3.4955948873891165,,0.04451861276956588,4.47195289091191,,3.666037401472326,19.86286664554957,,,2.3979049729519932,3.7840059118522333,,3.9830357142857147,32.0,102.37,102.39,102.38,A9,P9(F9),45.487,0.97,17.01,8.98,0.04,4.32,6.021052631578947,0.99,7.03,0.061875,9.454327403558024,100.364255035137,0.6046487761194029,8.308168026533997,5.053403487816327,,,,,,,,,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-7R-4-W 0/4,,,,,,2.3561333257987824,,,,,,,2.3373418251253564,,,4.526996781184747,,3.845608602367576,3.6984015003261588,4.261172758511067,,,3.808607397957203,3.9735456822600987,,3.6699151236829137,,,1.6602849784387121,1.7564547326112334,4.432994911607652,3.6539409358584973,,,,,,0.8850744096129792,3.653640478556988,,,2.8424166454639956,8.332130017341285,,2.750146628448338,,1.2845705752650387,,,,,,,,,3.686678013637036,2.6389812873512124,5.602843601895734,,3.977169259245474,,0.30432885703112583,3.4115929270874368,,3.8181448999012355,0.8673917586624238,,,3.2586962548528042,3.731206777234221,,2.932142857142858,33.0,103.8,103.84,103.82,F10,,47.3,0.74,19.9,7.4,0.12,8.21,12.743883357041252,2.0,0.05,0.061875,1.298182544437777,99.82394090147903,4.803108936831875,2.063212292409028,4.263668780962984,,103.8,103.84,<<0.1,2.0,0.1,1.9,,<<0.1,,,,South_Pacific,Seafloor altered basalt
329-U1365E-8R-1-W 41/47,,,,,,89.50422444918082,,,,,,,2.101694519699354,,,68.19398288677665,,3.3900809996561097,3.349062013898477,4.988671030165054,,,3.3005207409338153,5.4353189705161995,,3.186512135742977,,,195.91362745576805,4.298214913408934,15.135485547475877,3.6464319836522447,,,,,,1.1972546940958433,3.818241148919142,,,2.0844388733402637,10.447994274677153,,3.235833307300647,,55.43583032766067,,,,,,,,,3.416175372174556,2.8050920946748126,6.0715639810426545,,3.408012413595057,,0.15276003008207056,4.702465926525926,,3.629610458029371,19.123310092404438,,,2.4218961953350706,3.6665411245053177,,4.217857142857143,35.0,105.41,105.465,105.4375,A11,P11(F11),48.132,1.02,18.449,8.88,0.07,4.01,6.193954480796586,1.51,5.9,0.045375,5.951667665268767,100.16199714606536,0.8849592524271845,7.896711941747574,5.1745626722633205,,105.41,105.465,0.3,70.0,3,35.0,25,7,,,0.5,South_Pacific,Seafloor altered basalt
329-U1365E-8R-2-W 49/53,,,,,,0.6053243817304705,,,,,,,2.795907239091396,,,3.5129429596676958,,4.633737888363411,4.479985499900964,4.93783276021985,,,4.578867419453078,4.824580646113749,,4.435546979604269,,,1.9923419741264548,2.116593380025658,4.65867700452677,4.390086932040736,,,,,,1.0566683586079266,4.330614395418267,,,3.2214055315258623,9.400767222664534,,3.3207329761799347,,1.12916615256547,,,,,,,,,4.467810737515604,3.226335886491528,5.222748815165876,,4.760245327054514,,0.35332195791362936,4.0570294268066815,,4.58225320702443,1.1813493597727143,,,3.892820092337743,4.448005928868228,,3.2857142857142856,36.0,106.39,106.43,106.41,F11,,47.51,0.88,17.71,8.71,0.14,9.14,12.052275960170698,2.18,0.06,0.070125,1.1988011988012444,99.65120215897196,5.85,2.210000000000001,4.847656293279873,,106.39,106.43,<0.1,4.5,,4.4,,0.1,,,,South_Pacific,Seafloor altered basalt
329-U1365E-8R-2-W 117/119,,,,,,5.261872565086897,,,,,,,2.248997147515828,,,25.890712743969996,,3.812535400689783,3.647113160808999,4.108141868624258,,,3.7590162691420383,3.901912680501057,,3.6022235677997445,,,16.27079278869938,1.7071804101319021,17.55184429739504,3.592412503466673,,,,,,0.8173826178004087,3.4884699731786104,,,3.0319110884949287,4.398243705338998,,2.7050662843046562,,10.617157328936862,,,,,,,,,3.6384914473036774,2.6740807192634226,5.674881516587677,,3.8518431958700443,,0.25738672590857764,3.4115929270874368,,3.7577103627691852,2.8388520327836377,,,3.153306195155148,3.6206977834265617,,2.7883928571428576,37.0,107.07,107.11,107.09,A12,P12(F12),43.9,0.74,18.3,7.61,0.12,6.43,14.828876244665718,2.04,0.49,0.066,5.460000000000065,99.98487624466578,3.016082219966159,4.258797533370935,4.172281445093148,,107.07,107.11,0.15,7.5,1.5,5.0,2,1,,,,South_Pacific,Seafloor altered basalt
329-U1365E-8R-2-W 119/121,,,,,,0.5208823034776755,,,,,,,2.695449187183634,,,2.5854782463917085,,4.49156665103144,4.319094923431927,4.846023816612689,,,4.433083718356178,4.686667614621544,,4.3410665651886635,,,1.6602849784387121,2.035748675548068,4.727010567131442,4.259980592339216,,,,,,0.9954329313458693,4.242597324798949,,,3.0319110884949287,7.742514980464204,,3.2107286836313293,,0.8255606990556971,,,,,,,,,4.317687455315088,3.8428055696327696,5.909952606635071,,4.636342699325585,,0.4100721083352411,3.9648242125610755,,4.471134113408091,2.9953031257349383,,,3.8166972690016725,4.309419777624932,,3.10625,38.0,107.07,107.11,107.09,F12,,48.71,0.86,19.66,7.08,0.12,6.59,13.191394025604554,2.28,0.05,0.066,1.4391365180891655,100.04653054369372,3.899810856321839,2.746876826309068,4.19005723251344,,,,,,,,,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-8R-3-W 41/45,,,,,,0.34269013315582936,,,,,,,2.510635336604848,,,3.6315961091062277,,4.17374578209239,3.9825328342894455,4.4696815773746215,,,4.119691363254156,4.287557039674476,,3.9847893371835985,,,1.6602849784387121,1.9130851161908138,3.479257817349676,3.973865658740181,,,,,,0.9058993451321139,3.901612580105435,,,3.0319110884949287,3.764551471921658,,3.016941458317121,,1.0790695492125417,,,,,,,,,4.024243745254073,3.119158405305749,5.39431279620853,,4.258091123109141,,0.3197507755739235,3.688208569824256,,4.150820758810723,1.5297925396555903,,,3.482067401085691,3.9918470679463764,,2.905357142857143,39.0,107.52,107.56,107.54,F13,,47.549,0.8,19.03,7.98,0.12,8.5,12.60149359886202,2.07,0.05,0.066,0.8787697223885591,99.64526332125055,5.246600439879759,2.1504439556891564,4.480498546894167,,107.52,107.56,0.1,4.0,0.2,3.8,,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-8R-4-W 8/10,,,,,,2.7392148870980555,,,,,,,8.78259185360176,,,41.72405919269211,,11.401827236401651,11.086440116312547,10.524387290752479,,,11.313454188697698,12.36160075406972,,10.900498826497168,,,35.53009853858844,6.104132694852769,13.196079537084517,10.978575712027787,,,,,,4.200015543918959,11.588610167648888,,,7.0112943921445225,16.037153222364488,,9.144395486820347,,21.729756143133642,,,,,,,,,11.571753660229765,7.138590828543027,3.9796208530805686,,11.570359452622817,,1.7327484843519574,9.63544488866587,,11.578772217080376,3.3494916655786184,,,10.177244137513863,10.824595440843703,,10.0,41.0,108.62,108.64,108.63,,,48.04,2.09,14.65,12.89,0.21,7.17,8.08570412517781,2.27,1.07,0.152625,3.380000000000116,100.00832912517792,6.327348957403649,5.859612269551501,7.145028281965088,,108.62,108.64,,80.0,,20.0,5,55,,,,South_Pacific,Seafloor altered basalt
329-U1365E-8R-4-W 84/88,,,,,,1.5322565243911208,,,,,,,7.687331760886585,,,5.670699764370645,,10.13437604463495,9.645469519958061,9.368872212518788,,,9.826903243353154,11.718753216816747,,9.546914777563666,,,9.961709870632275,6.278576074075371,5.735286363636365,9.551792031367864,,,,,,4.027920996263968,10.506764622538931,,,8.337755493361055,12.34428993837861,,8.422614070474616,,7.423339817179891,,,,,,,,,10.21740824795154,7.840895099988306,5.254976303317535,,10.195904553868482,,1.664018240871361,8.990008388946624,,10.062779326195649,3.092536987630362,,,8.360436411740823,9.600131782337627,,9.061607142857143,42.0,109.38,109.42,109.4,,,51.04,1.95,14.58,10.52,0.2,6.89,10.608036984352774,2.92,0.3,0.1815,0.6398720255948106,99.8294090099476,5.423780473738414,4.493577251401762,5.988815822719001,,109.38,109.42,0.1,1.5,1,0.2,0.3,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-9R-1-W 84/88,,,,,,1.3514214785835426,,,,,,,7.359036383238698,,,0.9157697147186834,,9.567032788517794,9.424509166929077,8.975979288490139,,,9.503010912475366,11.051053971124738,,9.224789377421535,,,2.988512961189682,5.6635440366895065,3.6947868208458736,9.590734966657362,,,,,,3.656247508961181,9.843825463785894,,,7.769272164268255,5.754796198588679,,7.892633287316737,,0.7630820162986715,,,,,,,,,9.38279636015722,6.2291031191388475,5.098104265402843,,9.794686888644094,,1.780503322584381,8.34457188922738,,9.78786940314712,3.1578887298478193,,,7.94571561461794,9.632583176269506,,8.435714285714287,43.0,110.84,110.88,110.86,,,49.7632,1.81,13.722,13.062,0.2,6.653,11.1725106685633,2.657,0.09,0.169125,0.2198680791525286,99.51870374771585,8.050098447968287,4.1174461689241255,6.775808730911373,,110.84,110.88,<<0.1,3.0,,1.7,,1.3,,,,South_Pacific,Seafloor altered basalt
329-U1365E-9R-3-W 138/142,,,,,,1.1813115581752944,,,,,,,7.403044962481939,,,0.9582472778764557,,10.104235278209288,9.805339016068423,9.416591272097241,,,9.723380327712924,11.660901393083575,,9.691432537166559,,,2.65645596550194,6.012446609813119,4.322090848058184,9.690011781804689,,,,,,4.201952863858115,10.253157441921427,,,8.148261050330122,7.50647684053428,,8.19609643641498,,2.2015711493139922,,,,,,,,,10.360042606708658,9.061619284540804,4.94691943127962,,10.033496673308129,,1.7349262653134954,8.805597960455412,,9.846512100799881,4.41516375851451,,,8.540229999577114,9.712444314643472,,9.075892857142858,44.0,114.02,114.06,114.04,,,49.62,1.91,13.6,13.24,0.21,6.71,11.208108108108108,2.65,0.08,0.177375,0.1198801198800179,99.52536322798812,8.176626568807338,4.154859367991847,7.554332906793049,,114.02,114.06,<0.1,2.0,,1.4,0.3,0.3,,,,South_Pacific,Seafloor altered basalt
329-U1365E-10R-1-W 46/50,,,,,,1.2682958258339327,,,,,,,7.512857715190983,,,0.8257250790483164,,9.848737732686361,9.667978672579645,9.270796387520523,,,9.664122733493162,11.347127326928621,,9.491145839072633,,,18.263134762825835,5.812377643274573,4.232387226277372,9.692844269877442,,,,,,3.784227618895342,10.090997067432415,,,10.80118325276318,21.871032575823037,,8.06202442289365,,0.543678670225048,,,,,,,,,9.66977388083254,13.41929077061442,5.5952606635071085,,10.054194070089158,,1.819407721476106,9.294285595957126,,9.998625806474987,3.2369184947877185,,,8.121255655352225,9.791956532455497,,12.06875,45.0,115.16,115.2,115.18,F14,,49.56,2.016,13.865,13.255,0.19,6.22,10.821621621621622,2.72,0.55,0.2351249999999999,0.12,99.5527466216216,8.54538778125,3.760124687500001,6.971382563859979,,115.16,115.2,,3.0,,2.5,0.5,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-11R-1-W 75/78,,,,,,1.270166695915164,,,,,,,7.264818561515482,,,32.995142417792806,,9.919320770087205,9.728844327420548,9.225973743273572,,,9.481057182000418,11.266353180580172,,9.509410916637355,,,14.610507810260668,6.000739974406672,3.780705315924458,9.557390670427154,,,,,,3.9808893934169327,9.975453287265768,,,7.958766607299187,8.806376479572357,,8.069154549087587,,17.16323931694992,,,,,,,,,9.901273143585044,6.725809221953622,5.376303317535545,,9.852107757237906,,1.6081970241826398,8.759495353332609,,10.102537944181517,4.245962437806295,,,8.279172247675557,9.916732296339779,,9.025892857142859,46.0,116.45,116.48,116.465,A14,P14(F14),48.87,1.9,14.09,13.39,0.2,6.21,10.89281650071124,2.7,0.44,0.17325,0.6196282230661365,99.48569472377736,6.224835250988144,6.473516387790952,7.406549664384077,Not exisist in PetDB,116.45,116.48,0.1,6.0,0.3,3.1,2.4,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-11R-1-W 100/104,,,,,,1.3600188426013198,,,,,,,7.162421940733882,,,21.11578750837029,,9.78966778062514,9.538741266760253,9.043558722949866,,,9.42399954133643,11.30237000777422,,9.348269476540255,,,11.621994849070987,5.9513024342228995,4.725260135702294,9.30407663345716,,,,,,3.9144156279351487,9.825788033423768,,,8.148261050330122,8.10374258550731,,7.921244995763825,,11.407896113269054,,,,,,,,,9.714246160964361,6.751243586050947,5.180094786729858,,9.53583068016698,,1.6133863989166692,8.759495353332609,,9.755594458734622,4.670641564670338,,,8.358594405831635,9.383399769766367,,8.75,47.0,116.7,116.74,116.72,,,49.43,1.9,14.01,13.01,0.21,6.54,11.116571834992888,2.68,0.35,0.177375,0.2397123451857506,99.66365918017864,6.9736158845771135,5.2615379060254295,7.11808039137306,,116.7,116.74,<<0.1,40.0,,25.0,15,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-11R-2-W 0/2,,,,,,1.2179015394584425,,,,,,,7.9360697340474315,,,39.75908606390323,,10.207851986979716,9.840797974596635,9.755102088790382,,,10.179034195613282,11.881457816269139,,9.745982666461014,,,21.25164772401552,6.005154501706974,6.017997902097903,9.992311532826376,,,,,,3.937918033213563,10.729277155126466,,,8.527249936391987,10.124882031391168,,8.569831553541444,,18.46316845680376,,,,,,,,,10.213272849736875,7.474817186145209,5.335071090047393,,10.480860660596578,,1.942369517328621,9.128316210315035,,10.263173203308723,9.478556580761476,,,8.282214608515016,10.104686548991998,,9.209821428571429,48.0,117.07,117.09,117.08,F15,,49.97,1.98,14.71,11.6,0.17,6.22,10.638549075391182,2.81,0.64,0.185625,0.7993605115906395,99.7235345869818,5.324364365714286,5.684039593650794,6.283077143587122,,117.07,117.09,0.1,25.0,5,10.0,10,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-11R-2-W 2/4,,,,,,2.671393890011388,,,,,,,6.628237516752928,,,82.2708795002466,,9.363348671487818,9.35332895816717,8.516184800821577,,,8.924704537849962,10.770088153411496,,8.959387733472768,,,27.892787637770365,5.6311952626879975,3.897551937695285,9.266767955995977,,,,,,3.640099296283885,9.164489808831505,,,8.148261050330122,9.687742380777777,,7.431048436826058,,32.5680175113246,,,,,,,,,8.90242199810279,8.684067945894938,5.0663507109004735,,9.293942020370235,,1.438006150183514,8.34457188922738,,9.988476446325842,6.892562942748728,,,7.975276208129221,9.419196565215094,,8.57857142857143,49.0,117.09,117.11,117.1,A15,P15(F15),46.47,1.81,13.23,16.61,0.19,5.55,10.648719772403982,2.54,0.84,0.177375,1.6177351707610668,99.68382994316504,5.40548913196481,10.603900964483543,8.784425363693167,,,,,,,,,,,,,South_Pacific,Seafloor altered basalt
329-U1365E-11R-2-W 89/93,,,,,,1.0114650067185036,,,,,,,6.987706215725921,,,41.17067400186481,,9.36624166198872,9.310931331713526,8.705291440455932,,,8.788455973096204,10.675278081399085,,9.063649507659536,,,27.560730642082625,5.702736353478,4.372252315656919,9.555342726943218,,,,,,3.6836901437375467,9.602193134801249,,,7.769272164268255,10.004625449433647,,7.678661868438646,,31.18413609670029,,,,,,,,,9.035830828405878,6.434426703391978,5.186729857819905,,9.477658406813495,,1.4191463131731563,8.436777103472986,,10.030251057863369,8.098789981236633,,,7.8593911546976285,9.604412330174233,,8.293750000000001,50.0,117.96,118.0,117.98,,,49.55,1.83,13.9,13.06,0.16,6.39,10.2825746799431,2.61,0.83,0.169125,1.278721278721138,100.06042095866422,5.276136427619049,7.197626191534391,7.001901881017387,,117.96,118.0,0.1,10.0,3.5,2.5,5,,,,,South_Pacific,Seafloor altered basalt
