Sample ID,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Hf,Hg,Ho,I,Ir,K,La,Li,Lu,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,Os,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,Unnamed: 0,Top Depth (m),Bottom Depth (m),Depth,Sample Pair,Sample Pair ID,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,TOTAL,FeO,Fe2O3,Ge,Coment,T Dep,B Dep,vesicles (%),Total Secondary mineral (%),Celadonite(%),Saponite (%),Fe-OX (%),Carbonate (%),Chalcedony (%),Zeolite (%),Quartz (%),DataBase,SAMPLE_INFO
329-U1368F-2R-3-W 110/115,,,,,,45.24915390839906,,,,,,,45.424785360366926,,,1.6098041133619228,,19.149922375872045,16.518659751439557,26.163481651235042,,,23.71943750928101,32.50629279640244,,17.476591351472013,,,9.900781981515257,52.18748837492959,17.920606854938924,15.37057488669354,,,,,,69.30333557761223,39.23201782045822,,,1.12143432678962,0.49284197408356767,,38.893175973401725,,4.132883506198031,,,,,,,,,27.71066231871377,0.7327928190228425,43.29614325068871,,20.806788403136117,,37.686337719692226,23.299946835771774,,16.89510771912668,50.15724554398225,,,15.364530648212044,16.01948965356894,,33.695090439276484,61.0,13.04,13.09,13.065,A14,P3(F1),47.53,1.73,17.08,9.01,0.12,6.88,10.913157894736845,3.16,0.65,0.3135,2.099160335865556,99.48581823060242,3.30134891160221,5.341834542664211,4.908734947794588,,13.04,13.09,,5.0,,4.0,1,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-2R-4-W 61/64,,,,,,39.87689906688597,,,,,,,37.616509343794455,,,1.0834009831371436,,16.016806196568353,14.192826170829576,21.680994849263303,,,20.01605914810818,27.32858697485113,,14.30462322565392,,,7.920625585212205,42.96973195421727,19.22057619814217,12.79051975823739,,,,,,58.112532498587015,32.732860688042095,,,0.9591214637016489,0.3261843125758413,,32.18719706257687,,3.126693711967546,,,,,,,,,22.716121651095417,0.5717318456377879,33.303030303030305,,17.551173017345146,,30.87377022389279,19.93290249534233,,13.739118467589055,36.805019094021596,,,12.840483456839081,13.224226603651221,,29.38501291989664,62.0,13.87,13.9,13.885,A1,P4(F2),45.79,1.48,13.87,9.94,0.15,14.71,7.933143669985776,2.41,0.52,0.268125,2.817745803357315,99.88901447334308,4.764292464497041,4.646341706114399,5.237096756985605,,13.87,13.9,,7.0,,6.0,1,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-2R-4-W 86/90,,,,,,36.57230392368802,,,,,,,39.81759224064456,,,0.6062476338305441,,16.146206889889978,14.538376282534493,22.17016939102936,,,20.424407162106906,28.325281368204838,,14.876469714656368,,,6.397428357286781,45.17758624021644,7.228733432540494,14.293168271425511,,,,,,59.248646129296716,34.32312078903313,,,0.9591214637016489,0.3273975890388787,,33.96025175842833,,2.2801658470190853,,,,,,,,,23.415891844269474,0.5574601040236042,30.418732782369148,,18.2583867643046,,32.3105878095435,19.93290249534233,,14.912549658575454,39.029103763830015,,,12.774920905525324,14.46714090251883,,29.28423772609819,63.0,14.12,14.16,14.14,F1,,45.573,1.48,13.675,10.08,0.16,15.36,7.780583214793742,2.31,0.42,0.268125,2.758896441423571,99.8656046562173,6.605545677662582,2.7405048025971315,5.48437395010395,,,,,,,,,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-3R-1-W 19/21,,,,,,9.582550398096588,,,,,,,29.45393577889752,,,1.338550503885653,,34.93843927341668,34.12226088926167,33.31857363228056,,,35.30499801085732,43.26572469192208,,33.800568337153045,,,5.178870574946442,26.33486761342704,3.24711935344888,35.52138965325047,,,,,,19.107595158541397,40.29900065214886,,,0.8410757450922147,0.2517815264146028,,32.84757793638919,,2.517842636140058,,,,,,,,,35.8564788666685,0.8384608170771662,18.50275482093664,,36.004417858158696,,9.56601613723053,33.13171630982576,,36.25466621132113,16.952396451469887,,,29.0339643041693,35.78939027585338,,35.666666666666664,64.0,20.99,21.01,21.0,F2,,50.19,2.46,13.59,13.39,0.21,5.45,10.618207681365575,2.97,0.34,0.2351249999999999,0.5198960207958724,99.97322870216144,6.090607578844272,6.622658245728588,7.155821285840969,,20.99,21.01,,9.0,,6.5,2.5,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-3R-1-W 21/23,,,,,,8.377103733145377,,,,,,,30.91118447378952,,,3.527265688122813,,34.01152976565305,32.57352055664972,32.06519464743792,,,33.30406266557811,42.94741442018753,,32.30643267101552,,,7.311346694042036,26.31858011986615,3.628733584330808,31.79409951415648,,,,,,19.310088118187156,38.663170365000404,,,0.826320030266036,0.30037186394210846,,32.621290305465955,,4.8646747567858455,,,,,,,,,35.072340266631954,0.8271384778012684,17.93801652892562,,34.03170897038848,,9.109626620748523,32.45830744173987,,34.25259587508032,26.997991009544936,,,27.513726916395715,33.657827703804124,,35.11111111111111,65.0,21.01,21.03,21.020000000000003,A2,P5(F3),49.15,2.41,13.32,15.09,0.2,5.1,10.058819345661451,2.95,0.48,0.231,0.8791208791207823,99.86894022478222,5.841842015857285,8.599064426825239,7.83299134595163,,,,,,,,,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-4R-1-W 23/27,,,,,,5.62957901451479,,,,,,,26.420811019981784,,,0.38400206261859093,,30.75148622116145,29.982739044877796,29.27906551348918,,,31.073441696443723,38.453419221867684,,29.704483575133292,,,3.3053379845981703,23.570649154934365,3.982833144209085,31.121784353568707,,,,,,17.233300420179635,35.55359767350612,,,0.8071376009920029,0.33160819855182677,,29.13680539966631,,0.841243981399536,,,,,,,,,32.02847682428335,0.7588960191142216,13.446280991735538,,31.528810064367516,,8.556249534807062,32.59298921535705,,31.860973999129218,13.621443565212962,,,25.319276730775762,31.358604418668865,,30.57622739018088,66.0,28.53,28.57,28.55,,,49.508,2.42,12.69,15.5493,0.23,5.783,10.501651493598862,2.726,0.217,0.2256375,,99.677192907396,10.160053018008476,4.260352202212806,7.258962421114717,,28.53,28.57,,3.0,,3.0,,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-4R-1-W 66/68,,,,,,6.978536652547588,,,,,,,28.262234741234646,,,2.4141361952837133,,35.54353030136479,34.49455461851685,31.730132843414356,,,34.2182982300762,40.319990530037856,,34.68619293511031,,,5.331190297738985,27.271871670399985,3.8675665163519586,34.69273687576669,,,,,,17.859847560975613,38.96929131719623,,,0.9000986043969319,0.25420932287010084,,32.315870678585334,,3.5895402164143886,,,,,,,,,35.398257183960645,0.7699523662745146,17.9297520661157,,35.257757554516715,,8.815844986304416,32.727670988974225,,36.320032158178385,69.82297429652962,,,32.47287290794722,35.59086135143326,,30.886304909560724,67.0,28.96,28.98,28.97,,,49.012,2.43,13.678,14.09,0.23,5.53,10.862304409672827,2.96,0.35,0.251625,0.4797121726963294,99.87364158236916,6.568364229126211,6.791817523193098,6.933135022983703,,28.96,28.98,3,5.0,,4.0,1,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-4R-1-W 129/131,,,,,,6.701323608315861,,,,,,,28.338986549124552,,,2.680574221603319,,32.703696491522244,30.46042343286906,30.523797713442743,,,32.65881904269284,40.78190384021659,,30.902511036600565,,,6.245108634494239,24.106049737638415,4.2547281130839165,29.829550749113473,,,,,,18.670840108401084,37.26439507755504,,,0.826320030266036,0.27863335441484194,,30.773859207743918,,4.334838584616992,,,,,,,,,33.80287353780971,0.8069780858676207,17.150137741046834,,32.7645038600652,,8.59886551770932,32.18894389450551,,31.111529572755984,29.24216415216235,,,26.676199599452232,31.251774540891105,,33.82170542635659,68.0,29.59,29.61,29.6,A3,P6(F4),47.985,2.39,13.06,16.16,0.23,5.12,10.150355618776674,2.86,0.41,0.231,0.8200000000000429,99.41635561877672,6.088428716763007,9.39507920359666,8.3732454844735,,29.59,29.61,,8.0,,5.0,3,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-4R-1-W 131/133,,,,,,10.115497271525314,,,,,,,30.185962012850887,,,3.2037474717171337,,35.431853281074936,34.59348833661603,33.988033222169435,,,36.02674707583834,44.04099481974623,,34.17456513109922,,,6.549748080079324,26.932587941230263,3.508533966644018,35.3380603779379,,,,,,19.851114598734263,41.08189786276569,,,0.826320030266036,0.2788411589168374,,33.527373841983895,,4.3220004070594475,,,,,,,,,36.73328336744192,0.871976443296968,18.82231404958678,,36.53890711043436,,9.824566530294172,32.99703453620858,,36.32125458963603,12.527925145962,,,29.634950898078664,35.48876068256311,,36.310077519379846,69.0,29.61,29.63,29.62,F3,,49.43,2.45,13.41,14.38,0.2,5.34,10.36394025604552,2.99,0.43,0.231,0.7593924860111961,99.98433274205672,5.968207339285715,7.748658511904762,7.712962556634305,,29.61,29.63,,4.0,,4.0,2,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-4R-2-W 14/16,,,,,,14.23105506917483,,,,,,,30.44394902628222,,,0.6945215706126288,,35.76556336794452,35.340782605530144,33.51589894177398,,,36.22762706350588,42.675801193959245,,34.78131833361284,,,5.788149466116611,27.54554046236087,3.4232635597982313,35.68876961042119,,,,,,19.08749770384733,40.51898707819537,,,0.8410757450922147,0.25198431268069554,,33.82918824160151,,1.7840139883579649,,,,,,,,,36.89829341295846,0.8500478465842604,20.505509641873278,,36.77994844007013,,9.479399962466024,32.99703453620858,,36.67911168146838,16.640671006026412,,,30.547897266564338,36.03712749170885,,35.638242894056845,70.0,29.895,29.915,29.905,,,51.12,2.45,13.48,12.81,0.22,5.56,10.475817923186346,2.99,0.38,0.2351249999999999,0.2798321007396142,100.00077502392594,7.272386019007389,4.72957108999179,6.7420175785148215,,29.895,29.915,,2.5,,2.5,,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-5R-1-W 30/34,,,,,,6.021239860052832,,,,,,,32.34663058531964,,,0.06552517586346064,,35.575198206838316,34.52046264168084,33.262864611490066,,,35.888041823960485,43.89432895955811,,33.95636161155573,,,2.2847958418881364,27.628710156880228,3.2968074386761876,33.17934569290464,,,,,,20.590107038114038,41.145799835686766,,,0.8705871747445731,0.23329400047012244,,34.49010930296252,,0.5433398188618745,,,,,,,,,37.16818592122753,0.9040997973672896,16.865013774104682,,35.93695380513917,,9.647884965157962,33.93980695152883,,35.53127031805449,15.20270543937505,,,29.3885807557965,34.91729138676208,,35.599483204134366,71.0,38.1,38.14,38.120000000000005,,,50.58,2.52,13.7,13.94,0.2,5.39,10.2825746799431,3.16,0.15,0.2433749999999999,,100.04604560320442,8.162603280287474,4.870440799680585,7.182836142460684,,38.1,38.14,,2.0,,2.0,,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-5R-2-W 64/69,,,,,,5.505215463286179,,,,,,,29.250367800328238,,,0.07621213814650744,,34.244248093787185,33.419961637120224,32.930305743341805,,,34.83019760166841,42.6656517276893,,33.22891686740905,,,1.827836673510509,26.14353324702782,4.222952594364791,34.53258648910779,,,,,,19.261077416353928,39.29158430906219,,,0.826320030266036,0.26499894475470376,,32.24959133126935,,0.3236843906879559,,,,,,,,,35.41142843763471,0.898492811022356,16.077134986225897,,35.087190302807116,,9.483585518165285,32.59298921535705,,35.52784373591,15.978851244154976,,,28.99052930252236,34.525643017967646,,34.7984496124031,72.0,39.695,39.745,39.72,,,49.64,2.42,13.04,15.1,0.2,5.86,10.028307254623044,3.0,0.12,0.231,,99.63930725462303,9.482981940501045,4.563353399443283,7.700440424597364,,39.695,39.745,,4.0,,3.8,0.2,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-5R-3-W 9/14,,,,,,5.350788816931617,,,,,,,28.532772119448484,,,0.06854378486004893,,34.21510292702875,33.8243584602029,32.84109132142789,,,34.50742644523789,42.1887142067074,,33.182298480977074,,,1.827836673510509,25.512748925622898,4.104333555321762,34.234727448588245,,,,,,18.949112248168245,38.83624239423741,,,0.8115643154398566,0.3489593449488813,,31.752567360527834,,0.32443641947900037,,,,,,,,,34.98123969991435,1.1352216376285804,16.431129476584022,,35.297049168277915,,9.234144852260059,32.05426212088834,,35.34527020946188,16.04322488328431,,,29.26393978932046,34.11087739938081,,33.713178294573645,73.0,40.215,40.265,40.24,F4,,49.68,2.38,13.06,15.11,0.2,5.95,10.150355618776674,2.97,0.12,0.226875,0.0400000000000844,99.88723061877678,9.474456225806453,4.582826415770608,7.76006842243646,,40.215,40.265,,5.0,,4.6,0.4,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-5R-3-W 93/97,,,,,,5.246313346167888,,,,,,,29.736589375488446,,,0.03732819915904202,,33.696895309059634,32.12231467809948,31.261313789780345,,,33.37861778426798,40.9013850043783,,31.797392553966027,,,1.827836673510509,25.39910509272888,4.178274201189661,32.57721130296119,,,,,,18.903599350257345,37.633700941454634,,,0.826320030266036,0.2140730829157802,,31.739169959527334,,0.5401418837737749,,,,,,,,,34.3854674501147,0.6771180808961025,15.924242424242424,,33.973897310983034,,8.719576520633817,32.727670988974225,,33.19858769550491,15.040999509960336,,,27.610258893695693,33.193840992970124,,34.343669250645995,74.0,41.055,41.095,41.075,A4,P7(F5),49.78,2.43,13.14,14.94,0.2,5.97,10.068990042674256,2.99,0.12,0.231,1.774227766080953e-13,99.86999004267442,9.444516457200402,4.446092825332887,7.751892909507447,,41.055,41.095,,5.0,,4.6,0.4,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-6R-1-W 83/87,,,,,,20.1413990505653,,,,,,,33.9417775677875,,,1.542432186725081,,37.35520695647876,35.98871398128885,34.49934491625458,,,37.89146243263047,46.87608867943371,,35.516699063507915,,,5.788149466116611,29.079636015786694,3.853517731119932,36.174155094381106,,,,,,18.32371321402579,43.51699817426105,,,0.9000986043969319,0.29744309739055064,,36.359535252151396,,2.929608387968084,,,,,,,,,39.574246064508806,0.9262970194231689,22.541322314049587,,38.21546303765745,,8.569680082134752,31.78489857365398,,37.80453863956884,18.185129094251337,,,31.981495675184487,36.97281737602339,,38.93798449612403,75.0,44.73,44.77,44.75,,,50.82,2.36,14.5,10.19,0.18,6.0,11.35049786628734,2.9,0.38,0.251625,0.6399999999999295,99.57212286628727,5.522352743157895,4.054052507602338,5.579304044484792,,44.73,44.77,<<0.1,2.0,,1.9,0.1,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-6R-1-W 119/123,,,,,,10.55752286312635,,,,,,,31.151371630175426,,,3.866789712148693,,35.665810668042035,33.548725845299096,31.85602117466138,,,35.09511744654094,44.362991772396285,,33.543000365525174,,,8.529904476382377,25.987979922235716,4.394874068494761,34.19806629475245,,,,,,17.567724302580775,40.64120702378553,,,0.8410757450922147,0.2896698767300903,,33.18886963685551,,5.832305622252474,,,,,,,,,36.6614146175417,0.9036510616390792,19.717630853994493,,35.68484502630201,,7.929138019837703,30.572762611099378,,35.598209453791206,14.662386177225562,,,29.351166106327348,34.33588548300054,,36.594315245478036,76.0,45.09,45.13,45.11,,,49.242,2.27,13.783,13.19,0.19,5.84,10.974182076813657,2.71,0.56,0.2351249999999999,0.8996401439422796,99.89394722075592,5.34415116403162,7.252054262187087,7.063435729705419,,45.09,45.13,,0.3,,0.3,,,,,,South_Pacific,Seafloor altered basalt
329-U1368F-7R-1-W 48/50,,,,,,7.053312165623549,,,,,,,29.97880531025087,,,0.11869020036548723,,34.07343178096538,32.08678519255039,30.614588592670682,,,33.71057535951804,43.30361081312019,,32.562300755649666,,,2.8940747330583054,24.829148633186723,3.8291680866290325,32.934436584819345,,,,,,16.70654342084822,39.12504457878706,,,0.8705871747445731,0.3103226492327731,,31.9934870900448,,0.8888955520144205,,,,,,,,,35.562059058402376,0.8810520993575244,15.809917355371901,,34.295649192040905,,7.950643678160916,29.76467196939631,,34.33311603780521,13.12556007972665,,,28.199754101492996,33.090721070273155,,36.5374677002584,77.0,47.88,47.9,47.89,,,49.96,2.21,13.46,13.34,0.21,6.55,10.760597439544808,2.51,0.19,0.2433749999999999,1.7752916644016097e-13,99.43397243954496,8.633591540983605,3.7471205100182168,6.967374278074867,,47.88,47.9,<<0.1,4.0,,3.9,0.1,,,,,South_Pacific,Seafloor altered basalt
