,Rb,Ba,Th,U,Nb,K,La,Ce,Pb,Sr,Nd,Zr,Ti,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO
ODP0185-0801C-044R-003/023-026,12.162302656389738,0.6528586690606932,,64.73731185321405,,2.232392757969169,-0.592990253629563,0.2332224692404976,-3.2848888017361793,0.7184293092832466,0.022869244494463814,,,2.8706482722049813,0.6824379032283474,0.4298829290337789,-2.870204968437328,-0.3468097867771256,0.19339389518365424,0.01181024982659784,1.9526180937420659
ODP0129-0801B-037R-001/036-038,115.42909420858486,54.60554241459747,,20.34098566860065,,107.43440810966233,-1.6780090719447607,-2.024311685466124,14.202284242369913,-15.416665409261187,-4.11622875383615,,,1.682975207709064,0.733567239201542,0.9487695025506979,13.642187156774305,-5.432226347033591,-0.1385548479494152,0.09519211645618914,-9.974471964771023
ODP0129-0801B-041R-001/026-030,51.07765260458878,31.952446829620527,,11.208323326553568,,9.039451739840182,3.216778049348761,0.9505715520804614,6.311763253223155,4.314022233845492,-3.6262152176058464,,,-2.507317675179954,-2.2338711067940453,-2.15608187736804,-1.0588974143694614,0.8729566079918465,0.2595613719878278,0.05167702239388694,0.23673981637231378
ODP0129-0801B-041R-002/074-079,64.67678298627148,27.627110645952484,,6.670631946541128,,19.11932879576345,5.86861272511991,3.05610787156899,11.563636869067142,2.2643215583569223,-2.584308931828385,,,-2.306727859853705,-1.7119533457516676,-1.5374013726383717,-0.036107539774675956,0.15952166648038268,0.2577932291725755,0.10158598668502294,0.2690783980557523
ODP0129-0801B-043R-003/111-114,55.0254838474972,14.716662193703215,,115.00878996196006,,22.479549486536165,1.2701624736638806,0.7686810714650036,5.4226274166578605,-15.015605729409117,2.3885508350395668,,,3.8880453806748285,1.7012979096912586,2.3168457764622015,1.4131986301129018,-1.3433392426253272,0.1091819880385203,0.1882284234892041,0.5185357317330013
ODP0129-0801C-001R-005/033-035,60.75965489829335,76.26240549604019,,15.179985870833558,,13.082799945721284,3.8818993144523404,2.112007456286136,11.956510820790289,-3.1323745641249516,-3.951830006549244,,,-2.4705932088981166,-2.035741378977339,-2.086947577030058,-0.545057427033889,1.2009388082564936,1.7767801947113009,0.06720149343081772,-1.6509033036621528
ODP0129-0801C-002R-005/024-028,48.2967747572332,38.85896561505813,,20.749884740573847,,14.107435755914452,-5.879995779606823,-1.836497725333274,8.366697494943871,-2.066403202879581,-4.488419361875071,,,-0.9543866784803399,-1.459640514482949,-1.2944956070392895,-3.8246141084533676,2.792142976669889,0.8855737005928139,0.17931305868368852,4.881105346107536
ODP0129-0801C-005R-001/095-098,121.18584504743988,24.867513771209328,,11.479013922998186,,137.2129474851265,-0.8651957003895392,-0.8718131457969398,-3.0441138710672795,0.03963614355259715,-0.6536923725695116,,,-1.22655394359467,-2.594327508821877,-2.8594809090701436,7.782473021964215,-5.267012531578314,-0.9809879767615741,-0.010167829601751638,-6.98310953956993
ODP0129-0801C-006R-003/042-045,18.568136539952285,-2.161753877637392,,16.47525985736514,,11.329139511190856,0.2608127122244479,0.05404168735710346,-17.56806187528627,0.35415394550122237,0.8151754495625303,,,-0.42345713206748403,2.713296947853622,3.07425014157322,0.5921331019078693,-6.19268925136382,0.8851716063161819,-0.04982553815909033,3.4811079785604324
ODP0129-0801C-007R-003/043-048,10.824599570363842,0.22948561302932224,,24.147649216113336,,4.276054073523964,-1.541893909489236,-2.1863327570282194,0.00714301013292129,1.4662828494481994,-3.074777201756122,,,0.51387029356344,-3.1351216351109366,-3.479344382589862,-8.712054317035637,-2.0984113845340744,-0.5525999907509842,-0.057364916880877,11.349936891238738
