,Rb,Ba,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Th,Ti,Nb
ODP0129-0801C-001R-005/033-038,2.8455823111166,3.8056483023935668,1.3269712024433873,1.3530793444811537,1.0394026079384093,0.9938750044526062,3.366731473990383,0.8744000468982752,0.8381153493918763,0.8677227641057478,0.9655925185621945,0.9653000878333244,0.9696522028933946,0.8832332251091612,1.4688105247877248,0.9437122978992376,0.7380615795856045,1.0,1.0,1.0,1.0
ODP0129-0801C-002R-001/112-118,2.2815912194959833,1.3489526589044671,0.8133604419269013,0.9769015803508901,0.9374161483278267,0.957011814556042,1.6371684874450618,0.7741102984140638,0.8400945163534069,1.1145366181856293,1.1765416357637084,1.3217153301351348,0.9937086682936199,0.6479906230235795,1.4376207981039053,0.9657716483187947,0.7364776587787537,1.0,1.0,1.0,1.0
ODP0129-0801C-002R-003/114-119,2.954877644546561,1.679983704141656,1.4503786992365981,1.4712169426771868,1.0263052478576118,0.9759704101943757,0.6709060416818657,0.9478001174144514,0.6774026449457966,0.8296066679734508,0.8832464238901989,0.8706595086961714,0.9549946186110329,0.8834578824590447,1.2881657295315088,1.102722749095222,0.6777466193037329,1.0,1.0,1.0,1.0
ODP0129-0801C-002R-004/071-076,2.4658969776713393,1.3180873028710585,0.8507627928880543,1.100086116661708,0.9389461103758205,0.929928809200197,1.12317860265784,0.8065593023644021,0.8369502766230588,1.1582500726486138,1.2250450149587766,1.3786907043943513,1.0012384466026858,0.6588035297804331,1.4181549816918595,0.9305257260647092,0.7176120157346382,1.0,1.0,1.0,1.0
ODP0129-0801C-005R-001/103-105,53.73130601171547,12.413455316075765,6.878232022046418,26.58855523912584,0.786940350979565,0.8096480286358481,2.033684730845966,0.7960359607658887,1.2052600912335516,0.8632317445041131,0.6050157254727208,0.5460327852059645,1.0405257692166372,0.24526664280904328,0.5291038286622392,0.18529427065361825,0.44304067424153515,1.0,1.0,1.0,1.0
ODP0129-0801C-005R-002/087-089,36.51157183393435,3.316415651679758,4.919387528997386,5.290935905575383,0.7859667051664204,0.8597302317563948,2.754995554034226,1.734825766419123,0.8827129742394221,0.7178591670506039,0.6518614269309598,0.6098451777433186,0.9105709277064165,0.38222742078227967,1.1726034837911365,0.16468421406849482,1.0980541251132827,1.0,1.0,1.0,1.0
ODP0129-0801C-005R-003/038-043,5.833525821701628,3.638174109311348,3.722746896077489,0.34365708955765456,0.7524917444894611,0.826410917805515,2.6540160784075666,1.509590015321012,0.926321802785831,0.8439056400680226,0.7338249418649003,0.717117867395892,0.9237929580933162,0.5972183754986297,1.1053878800200516,0.687569450076046,1.1191167640001796,1.0,1.0,1.0,1.0
ODP0129-0801C-005R-003/125-131,15.382989198594236,0.3157953493627949,4.627023768448805,4.273109648712616,0.9910728227670456,0.9434912905896705,2.6525579366461476,0.7227925861584689,1.3949713184659074,2.0999082814153405,1.9418118988281745,2.1516860701888074,0.9228801296474399,0.47708249783535134,0.7208302739819004,0.4711568374998504,0.653876479361009,1.0,1.0,1.0,1.0
ODP0129-0801C-006R-002/029-034,7.910459530035243,2.1404071773744344,5.669735445449327,0.3203787482941739,0.7525754351475118,0.8608600986774744,4.435462254684746,1.1687811980229617,0.9479727762680735,0.9391604503293863,0.8503041914832419,0.8982187898516975,0.9300327190980783,1.2061334316172334,0.9202047986994896,0.6191701401263009,0.9715513754828377,1.0,1.0,1.0,1.0
ODP0129-0801C-006R-002/119-124,0.9012799960134814,0.784524353780473,0.303015669821742,0.06745134063072686,0.7661359123429127,0.8730873891356951,2.1742171552348073,1.1015404769804942,1.1352444407683047,1.0115458610082257,0.8776501627814502,1.0816008250508156,0.9371056333015932,0.8961443319008207,0.9957407227639103,0.1123615179794383,1.0977197426332717,1.0,1.0,1.0,1.0
