,Rb,Ba,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Th,Ti,Nb
ODP0185-0801C-040R-001/024-027,1.2001264955655544,11.239195229369608,0.09254915688844906,1050.227109731121,4.03475858622269,11.64436911643913,0.5147935738183576,133.52804050099917,10.569883884594136,34.40036276067467,3.3355124932836113,0.4914904720400289,50.67235221611661,7.464298947653239,2.913821755469814,0.16017093243361286,10.81163535870164,104.0,0.1845075938701725,9529.408892283422,2.689594804694486
ODP0185-0801C-044R-003/023-026,1.076937813192517,13.037170761934817,0.11051645108250481,1069.7683803279876,5.02738430424351,13.786030117098116,0.5332271049232687,117.8411415741235,13.469035042954495,43.438550361467335,4.383558113708424,0.6981886632515003,50.030204968437324,6.746809786777126,2.866606104816346,0.20118975017340215,10.677381906257935,132.0,0.21808248126298918,12406.211576746342,3.17941782804581
ODP0129-0801B-037R-001/036-038,11.3025251775486,199.36186406437824,0.5618393009593864,5000.448802847269,22.452792232426052,47.89315324170237,1.3516378187917362,459.29164013541106,28.273373732694147,23.44246280492376,1.8383513510736402,0.25479105681124836,46.04781284322569,8.082226347033592,2.478554847949415,0.35080788354381087,11.374471964771024,169.0,2.339342436769251,16002.21493232499,29.2786768680162
ODP0129-0801B-041R-001/026-030,16.765690596086127,227.68434910778208,0.7746252101423751,8214.345557181166,27.590073480097402,63.91273549505718,1.4518648090211559,452.97413086586016,38.90989540463832,44.30829542206879,3.671298455649464,0.5465500589252349,48.97889741436946,4.307043392008153,3.270438628012172,0.638322977606113,8.373260183627686,310.0,2.4686132597420163,18998.8843953072,36.32976174316837
ODP0129-0801B-041R-002/074-079,16.63024280371761,234.91412369543812,0.7859167291226363,7571.00531470898,26.068263057842625,59.975408527965044,1.448981782296233,483.2228151186689,37.39915429369563,43.19561176233436,3.453992999455572,0.5067677015752395,48.73610753977468,4.940478333519617,3.2022067708274244,0.589414013314977,8.680921601944247,282.0,2.5111007458172754,18159.816945672177,36.18092706836083
ODP0129-0801B-043R-003/111-114,21.358817756839272,321.1452479282082,0.9648154107988384,10484.20818503307,34.32739838059292,69.63559109814962,1.844993453417292,644.8292808905323,37.56590216935643,31.609393517929533,2.1212601305222094,0.2945534125417971,46.3568013698871,7.2033392426253275,2.84081801196148,0.6087715765107959,9.281464268267,286.0,3.23388596061479,19837.951844942218,45.90736648220286
ODP0129-0801C-001R-005/033-035,12.617619139583724,211.0020479881752,0.6432202967124951,7858.146536469714,25.633135170971244,58.751186765092115,1.4410877317238897,415.0931033030365,38.35077782886768,45.84119910048643,3.7036204998358286,0.5564341207002244,49.15505742703389,3.9590611917435066,3.2432198052886987,0.6147985065691823,8.230903303662153,310.0,2.183712075035193,18639.284059749334,34.125151874417035
ODP0129-0801C-002R-005/024-028,26.63154802915691,280.4146893163587,1.1342524204479492,12533.594082304578,37.13955710058989,75.55978346246656,2.1959644778589853,449.60110758075916,42.77731981597885,44.84245938708555,3.929602773640094,0.5797926749209074,50.70461410845337,4.617857023330111,3.154426299407186,0.5896869413163115,6.958894653892464,399.0,2.573386320070128,11866.811073409544,40.73728394385893
ODP0129-0801C-005R-001/095-098,1.5469883948756755,6.200946253018008,0.06394070761703805,1047.2167896949538,1.9543894461676135,6.097468333789568,0.46213208484577684,88.06367737104021,6.355099472459119,26.980820443355746,2.919003461849185,0.4596015872711906,49.59752697803579,7.437012531578314,2.440987976761574,0.09546782960175164,11.95310953956993,62.00000000000001,0.0704403867592391,6472.806040041569,0.9868119712161274
ODP0129-0801C-006R-003/042-045,1.3092332971302985,19.738497850807732,0.12501954299533202,807.502573221357,3.120821666701804,9.68407600494114,1.607332393145325,137.5273517499242,8.466252441292335,23.126729950907052,2.4023446047081647,0.36850548952358175,49.40786689809213,8.58268925136382,2.154828393683818,0.12102553815909033,10.588892021439568,57.70000000000001,0.2557843944853619,6832.406375599434,1.5118753602343935
ODP0129-0801C-007R-003/043-048,0.6563792728189599,4.606125050538067,0.027899366461619904,899.2648274338776,2.1092811158191056,7.79074064372509,0.4584928462805626,94.06143187664298,8.74324833117779,34.86189016428635,3.375614966109692,0.5404714843116497,50.612054317035636,7.598411384534074,2.832599990750984,0.210364916880877,10.400063108761262,95.99999999999999,0.0555887508242026,9169.808556725557,0.8654093256960199
ODP0129-0801C-009R-004/001-004,0.5816405701721303,6.443650506357664,0.056096694740559935,792.6608704411344,2.8116407754251784,10.087204910000615,0.4827498049482206,103.4875488808913,9.246383226455606,35.28095291380942,3.3423668037304313,0.5388592582962133,50.40720174855322,7.538358569653512,2.6799919680071795,0.1955046428310593,11.218784620472151,99.10000000000001,0.08905341685146591,8990.008388946624,1.821459248552557
ODP0129-0801C-011R-002/145-148,0.8631699123856594,6.3696765862278735,0.06575511336086008,1002.9564939874607,3.1632017930038385,11.077181178071516,0.42187743728754623,102.48812754338833,11.014879004153139,41.373242614556126,4.0962146911295925,0.6204469067392062,50.317293958003596,7.240266206109178,2.6863265242968226,0.26945704812367105,11.049686830138322,111.0,0.1072729829895061,10728.076677476307,1.8647938369449537
