,Rb,Ba,U,K,La,Ce,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Th,Ti,Nb
329-U1365E-6R-2-W 99/103,9.186705661889166,1.3935176750786091,3.991805866735364,9.735422237395523,2.143297076659166,2.7722806049248727,1.3978623561284331,3.384992116908156,4.014930502721499,5.699158535658728,6.249003678658375,6.013268922614154,51.303751376088165,7.234057524645031,2.5052558955119895,0.09249088664434622,11.134674739731633,3.901785714285715,0.7048451078384941,4.61026071228032,1.1160398015129471
329-U1365E-6R-4-W 8/10,6.3258384516554536,1.567363925949922,2.888708527677035,7.3712042727046745,2.3069093096931357,3.0036128838740046,1.6338611014256073,3.6538912126132663,4.142518862689324,5.6621413881083695,5.969968377216244,5.714787802569301,50.77759960973864,7.4888443393027355,2.624861623128676,0.09222246847118915,10.992326839047717,4.016964285714286,0.7826220619476035,4.61026071228032,1.2355606099623204
329-U1365E-6R-4-W 10/12,3.6204696109448076,0.8280401142924135,3.8655462520113053,4.871939480166536,2.198787999725281,2.894043275383275,2.1775002875360383,3.499315148566479,4.199104238432189,6.142707430445146,6.355145662782879,6.372323334096644,50.326780566199524,7.40129583352671,2.4299993591927995,0.10278297449812437,11.357156242794263,4.492857142857143,0.6820128673395777,5.025184176385548,1.1643677553446425
329-U1365E-6R-4-W 19/23,1.3182094106560256,1.7991574508895174,2.625575252493201,1.9231733445747519,2.9003092627442744,3.2823735396429345,5.582255808620764,4.614709547585142,3.9677358262792333,4.086186554440699,3.4241404670183733,3.6478195363589556,47.54564501000397,13.952202176345798,1.7239264403031922,0.07420014493935552,9.353387364662975,3.6187500000000004,1.5126807964962634,4.0109268196838785,1.6774322589609272
329-U1365E-7R-1-W 41/45,4.07778374002424,0.7940203086641312,2.925624127881116,6.282751631394823,1.9110699213243623,2.519917353705535,1.457141842240961,3.1392805433587214,3.651518414316334,4.927522373725888,5.101085672491404,5.207888959274913,50.082696141860936,7.814502814646377,2.5586420825968688,0.08937418475465117,11.857575527278513,3.5607142857142864,0.5647335860966317,4.0109268196838785,0.9183998900084304
329-U1365E-7R-2-W 131/135,6.606916167936318,1.078035831179123,2.5276401211086124,7.000952564814339,1.8440355159144988,2.438159974007894,1.165302594756073,3.0247922084339516,3.4297035560471856,4.575765291173974,4.782250730610341,4.983718819070356,50.45413662828847,7.784396509928632,2.330204921900121,0.08096127087450891,12.125548439095839,3.1026785714285716,0.5905809677693293,3.7804137840698626,0.9719470696194473
329-U1365E-7R-3-W 0/2,1.7438518494620894,1.7168583096988796,1.7096057864182672,2.1005717080356265,2.0310169909445346,2.4260576325331784,0.9690570203691196,3.3986266171054615,3.2968291792767292,3.9430729843953887,3.9269143659017858,4.342074249392761,48.801489679787856,10.314954375516134,1.866941091232389,0.07387654466161561,11.52462469385003,3.136607142857143,0.820087873795947,3.688208569824256,1.472773438480435
329-U1365E-7R-3-W 2/4,1.9903978226073673,2.3160184793590646,3.4152048353211306,3.7027577709841064,3.864050471212795,3.803338520964276,5.189581482994831,5.644819230564917,4.305397797229559,4.137872592345629,3.7846231414297016,4.12526066404082,50.25005696166866,9.256425519497704,2.105610557530781,0.07478359235298175,11.038740787201556,3.9830357142857147,2.701754590312874,4.47195289091191,4.015795552597852
329-U1365E-7R-4-W 0/4,1.7186424884134053,0.9776620684203692,1.6712305004762487,1.8966545145499234,1.7089048353171044,1.8876155762125806,1.0322522211925584,3.068296463292698,2.820246650120136,4.472645779106362,4.5303035945172265,4.713293092682126,48.739693544322066,8.928412348826935,1.7448063151441826,0.059492487641286736,12.042320575389216,2.932142857142858,0.5850730602336199,3.4115929270874368,1.0957559351743447
329-U1365E-8R-1-W 41/47,1.7297907573384113,3.3946463210946582,3.681562849338626,4.463017349838789,4.340921519382207,4.0618536109887255,10.772608487682966,6.260066881407902,4.275672353778584,4.424756033045726,3.973951114404947,4.202914444776,49.632290293861054,9.328929209404627,2.1216711629476195,0.07177383881425096,11.014969058090065,4.217857142857143,3.2707157478146067,4.702465926525926,4.179325554200052
329-U1365E-8R-2-W 49/53,8.000337720045765,1.0559952718744363,3.0583105278313454,9.397859080589603,1.8964238732123706,2.601783266171199,1.37677687771208,2.995906157442314,3.592328874888423,4.711963260025692,5.433600729054361,5.323241809072732,50.6797325131327,6.961033971914641,2.4198370445290527,0.08275702224894742,11.86319159011143,3.2857142857142856,0.5652947286332024,4.0570294268066815,0.9346887533991737
329-U1365E-8R-2-W 117/119,1.8039012200550315,0.9412038500874372,1.7283312957406558,2.734052267061295,1.7414336196328826,1.828941500157326,1.013104338377505,3.0899487954221634,2.8857774812975836,4.2935524671324234,4.412939333513403,4.5595866268106775,49.02315263800144,9.526774447928956,1.8138758415304708,0.059433432537286945,12.177435394378447,2.7883928571428576,0.5711831678903553,3.4115929270874368,1.0737734771404723
329-U1365E-8R-2-W 119/121,2.1906476390828877,0.8600533293147838,2.085513434831375,3.379915501361349,1.840664067779625,2.353936358932738,1.0758315645891101,2.9232131737110563,3.3652775085248208,4.734111506109582,5.260600588689967,5.081317279635423,50.38790198561471,8.036876295141912,2.1831827119839056,0.0806283194326418,12.279610812877436,3.10625,0.5294128571408235,3.9648242125610755,1.0033049631497997
329-U1365E-8R-3-W 41/45,3.9050781785543696,0.9966993911355383,2.115026582003693,4.391722646303679,1.7315438577822833,2.2146148081633656,1.1704002620339993,2.9834315937726674,3.0704977096777895,4.483168070387345,4.837793733590528,4.894224018503656,50.27558407460814,8.206809819042062,1.9717852626650998,0.07519414514734325,12.407358462514795,2.905357142857143,0.54227274168306,3.688208569824256,0.9373826080419849
329-U1365E-8R-4-W 8/10,0.23337808683171465,0.7546599395749247,1.9144820677178698,2.0482486036064844,5.5881860718007585,7.425701244184465,5.366365563775079,4.360960477727946,9.121920783022524,9.960920480609728,8.703882057275086,8.836434912541263,50.09696943943286,6.75829692166362,2.652824183628245,0.3849624187232138,10.238128632213048,10.0,1.333009869906594,9.63544488866587,3.4347442322374873
329-U1365E-8R-4-W 84/88,0.9781109886925291,1.4610235966850427,3.3579465745733112,3.6052526524622257,5.394471563839447,6.70253643080139,5.703432550486982,5.324352031183249,8.634653951740333,8.401339712767573,7.707010525350306,7.879042362568696,50.57495258486538,7.504949380695988,2.964696676676656,0.22072206609625616,10.28857827719009,9.061607142857143,2.0665342746195927,8.990008388946624,3.4582537796490755
329-U1365E-9R-1-W 84/88,0.4540006492629733,1.1029154478971526,2.1234438430826446,2.2006183419688896,4.539594243937792,5.605618312583089,4.381761835737001,4.182479404731229,7.77100253941548,8.535165820118582,7.504569793884224,7.872270465877933,50.68851316683235,7.575106152234071,2.583367329848021,0.24284045015584696,10.388971885068742,8.435714285714287,1.7101646230764644,8.34457188922738,3.27354550238308
