,IGSN,EXPEDITION ID,REFERENCES,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,TECTONIC SETTING,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2O_M,H2O_P,SO2,SO3,V2O3,V2O5,ZnO,CoO,La2O3,Ce2O3,O,FeS2,S_SLFI,SLFA,C_NON_CARB,CaCO3,CuO,Cu2O,Dy2O3,FeCO3,Gd2O3,HfO,HfO2,MgCO3,MnCO3,Nb2O3,Nb2O5,Nd2O3,Sc2O3,Sm2O3,Ta2O5,ThO,ThO2,UO2,WO3,Y2O3,ZrO2,S_PY,TOC,Ag.1,Al.1,As.1,Ca.1,Cd.1,Co.1,Cu.1,GER,INDIUM,Mg.1,Mn.1,Ni.1,OS_INI,Pa,S.1,Si.1,Zn.1,Zr2O3,Ti.1,As.2,As.3,GER.1,H2O_M.1,H2O_P.1,H2O_M.2,H2O_P.2,INDIUM.1,area,depth_start,depth_end,depth_mean,Depth,Unnamed: 0.1,Top Depth (m),Bottom Depth (m),Sample Pair,Sample Pair ID,TFe2O3,TOTAL,Ge,Coment,T Dep,B Dep,vesicles (%),Total Secondary mineral (%),Celadonite(%),Saponite (%),Fe-OX (%),Carbonate (%),Chalcedony (%),Zeolite (%),Quartz (%),CaO*,CIA*,CIA,SAMPLE_INFO,Depth_to_basement,Core_Site,Core_hole,DataBase
329-U1368F-11R-1-W 81/86,,,,,,,,,,,,,,,,,,49.792,2.42,13.785,,6.817150525734482,,5.456564526838966,,,0.18,5.57,10.87247510668563,,2.8,0.46,0.264,,0.8190171793849584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,77.035,96.0,77.01,77.06,,,12.88,99.84249228607058,7.132301467835092,,77.01,77.06,0.1,5.5,0.0,5.4,0.1,0.0,0.0,0.0,0.0,10.871917140163625,35.659357601235264,35.660293441563944,No_database_info,67.835,U1368,U1368,No_database_info
329-U1368F-11R-1-W 133/137,,,,,,,,,,,,,,,,,,47.64,2.35,13.48,,10.36572546960754,,5.115847077353215,,,0.2,4.99,10.39445234708393,,2.64,0.65,0.264,,1.138633639632449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,77.55,97.0,77.53,77.57,,,16.05,99.79708598671635,8.086780333425185,,77.53,77.57,2.0,10.0,0.0,9.5,0.5,0.0,0.0,0.0,0.0,10.393894380561925,36.0179796474774,36.01895600904558,No_database_info,68.35,U1368,U1368,No_database_info
329-U1368F-11R-2-W 20/23,,,,,,,,,,,,,,,,,,49.349,2.34,13.235,,5.598757873298199,,7.87611791403162,,,0.21,6.43,10.55718349928876,,2.6,0.35,0.264,,0.1799280287884204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,77.915,98.0,77.9,77.93,,,14.35,99.86511152807716,7.221937230476985,,77.9,77.93,1.0,8.0,0.0,7.5,0.5,0.0,0.0,0.0,0.0,10.556625532766752,35.68721137290294,35.688187627878484,No_database_info,68.715,U1368,U1368,No_database_info
329-U1368F-11R-2-W 74/76,,,,,,,,,,,,,,,,,,49.45,2.37,13.8,,6.185264137931035,,6.286262275862069,,,0.18,6.04,10.80128022759602,,2.87,0.29,0.259875,,0.838993208150216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,78.44999999999999,99.0,78.44,78.46,,,13.17,100.0701484357462,6.764830153794196,,,,,,,,,,,,,10.800730979300916,35.868230300228646,35.869161328267275,No_database_info,69.24999999999999,U1368,U1368,No_database_info
329-U1368F-11R-2-W 76/78,,,,,,,,,,,,,,,,,,48.58,2.35,13.459,,7.760618889924407,,5.795442999068033,,,0.2,6.05,10.81145092460882,,2.8,0.41,0.259875,,0.8589692369158284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,78.47,100.0,78.46,78.48,A6,P10(F8),14.2,99.97929516152465,7.084460977027401,,,,,,,,,,,,,10.810901676313716,35.26401891212076,35.26494163833055,No_database_info,69.27,U1368,U1368,No_database_info
329-U1368F-11R-2-W 110/116,,,,,,,,,,,,,,,,,,48.984,2.32,13.651,,3.854097890137329,,8.762311898876405,,,0.2,6.58,10.7097439544808,,2.66,0.18,0.251625,,0.3794687437587403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,78.83,101.0,78.8,78.86,F6,,13.59,99.50583769823956,6.931960928204811,,78.8,78.86,0.3,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.70921214263951,36.21512041165841,36.21604943473418,No_database_info,69.63,U1368,U1368,No_database_info
329-U1368F-12R-1-W 29/33,,,,,,,,,,,,,,,,,,49.57,2.33,13.6,,5.557451102077687,,7.32829400813008,,,0.22,6.19,10.7097439544808,,2.64,0.38,0.25575,,0.2398081534773693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,86.21000000000001,102.0,86.19,86.23,,,13.7,99.83530210795816,6.938511412107662,,86.19,86.23,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.709203424412603,35.95336968396297,35.954303827021086,No_database_info,77.01,U1368,U1368,No_database_info
329-U1368F-12R-1-W 71/74,,,,,,,,,,,,,,,,,,49.373,2.35,13.567,,6.516647769808743,,6.195017007172131,,,0.21,5.94,10.93349928876245,,2.71,0.42,0.264,,0.639360639360569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,86.625,103.0,86.61,86.64,,,13.4,99.806859928123,6.876320358380933,,86.61,86.64,0.2,2.0,0.0,1.9,0.1,0.0,0.0,0.0,0.1,10.932941322240442,35.36843988228983,35.36937530857005,No_database_info,77.425,U1368,U1368,No_database_info
329-U1368F-12R-2-W 11/13,,,,,,,,,,,,,,,,,,48.31,2.24,13.55,,7.842335438957475,,4.938898104938272,,,0.18,6.55,10.40462304409673,,2.82,0.42,0.235125,,1.418014779309033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,87.52000000000001,104.0,87.51,87.53,F7,,13.33,99.45776282340576,7.021154981703035,,87.51,87.53,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.404126105163067,36.07425634489314,36.0751241274314,No_database_info,78.32000000000001,U1368,U1368,No_database_info
329-U1368F-12R-2-W 13/16,,,,,,,,,,,,,,,,,,48.28,2.25,13.54,,8.516363565489689,,4.980272791059281,,,0.17,6.53,10.42496443812233,,2.8,0.48,0.235125,,1.298960831334922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,87.545,105.0,87.53,87.56,A7,P11(F9),14.05,100.0590502694572,7.616343950514318,,87.53,87.56,2.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10.424467499188667,35.99107508024424,35.99193950338862,No_database_info,78.345,U1368,U1368,No_database_info
329-U1368F-12R-2-W 122/127,,,,,,,,,,,,,,,,,,49.09,2.35,13.57,,4.115889079488843,,8.60769982846004,,,0.18,6.88,10.51650071123755,,2.8,0.15,0.2475,,0.2998201079354278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,88.64500000000001,106.0,88.62,88.67,F8,,13.68,99.763820819173,7.192771075400971,,88.62,88.67,0.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.515977617623166,36.22561217933781,36.22653195946405,No_database_info,79.44500000000001,U1368,U1368,No_database_info
329-U1368F-12R-3-W 51/55,,,,,,,,,,,,,,,,,,48.72,2.32,13.1,,8.295918202676866,,5.925673617590822,,,0.19,5.82,10.36394025604552,,2.71,0.68,0.2475,,0.6999999999999673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,89.255,107.0,89.235,89.275,A8,P12(F10),14.88,99.73144025604547,7.87115913711254,,89.235,89.275,0.4,10.0,1.5,8.4,0.1,0.0,0.0,0.0,0.0,10.363417162431135,35.27393633629743,35.27483971335267,No_database_info,80.05499999999999,U1368,U1368,No_database_info
329-U1368F-13R-1-W 7/11,,,,,,,,,,,,,,,,,,49.76,2.43,14.58,,-1.199868906684463,,12.18588201601602,,,0.19,4.94,11.31998577524893,,2.84,0.48,0.268125,,0.6794564348521323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,95.59,108.0,95.57,95.61,,,12.34,99.82756721010108,6.334695841138131,,95.57,95.61,0.1,3.0,0.0,2.5,0.5,0.0,0.0,0.0,0.0,11.319419090500016,36.13063254682861,36.13155509314,No_database_info,86.39,U1368,U1368,No_database_info
329-U1368F-13R-1-W 71/75,,,,,,,,,,,,,,,,,,49.54,2.36,14.12,,6.524924404687172,,5.359568035781545,,,0.17,6.05,10.89281650071124,,2.92,0.27,0.251625,,0.61950439648279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,96.23,109.0,96.21,96.25,,,12.48,99.67394589719405,6.71283381486676,,96.21,96.25,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.89228468886995,36.185461192446,36.186357886417206,No_database_info,87.02999999999999,U1368,U1368,No_database_info
329-U1368F-13R-1-W 114/115,,,,,,,,,,,,,,,,,,49.478,2.31,13.791,,4.27683092875318,,7.769852164122138,,,0.18,6.75,10.79110953058322,,2.79,0.15,0.23925,,0.3397282174259774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,96.645,110.0,96.64,96.65,F9,,12.91,99.7290877480092,6.638839137785189,,96.64,96.65,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.79060387342265,36.136596403266566,36.13746698051566,No_database_info,87.44500000000001,U1368,U1368,No_database_info
329-U1368F-13R-1-W 115/117,,,,,,,,,,,,,,,,,,48.92,2.28,13.6,,6.680923972194638,,6.155168425024826,,,0.17,6.59,10.58769559032717,,2.79,0.27,0.243375,,0.6794564348521323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,96.66,111.0,96.65,96.67,A9,P13(F11),13.52,99.6505270251793,7.425591499013807,,96.65,96.67,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,10.587181214939694,36.043136146328266,36.04402953231845,No_database_info,87.46,U1368,U1368,No_database_info
329-U1368F-13R-2-W 54/55,,,,,,,,,,,,,,,,,,49.9879,2.29,14.09,,4.263953897471107,,6.957041492276004,,,0.16,6.435,10.83382645803698,,2.87,0.17,0.243375,,0.3399320135971987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,97.545,112.0,97.54,97.55,F10,,11.994,99.41403347163418,6.253490580132484,,97.54,97.55,0.1,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.833312082649504,36.41443249344363,36.41531266784396,No_database_info,88.345,U1368,U1368,No_database_info
329-U1368F-13R-2-W 55/57,,,,,,,,,,,,,,,,,,49.154,2.32,13.681,,7.262458828340771,,5.586787054493307,,,0.17,6.42,10.65889046941679,,2.81,0.38,0.23925,,0.6794564348521323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,97.56,113.0,97.55,97.57,A10,P14(F12),13.47,99.98259690426892,7.587788256439286,,97.55,97.57,0.1,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,10.65838481225622,35.91287270622741,35.913739450638,No_database_info,88.36,U1368,U1368,No_database_info
329-U1368F-13R-2-W 108/110,,,,,,,,,,,,,,,,,,49.12,2.26,13.8,,5.570445271669575,,7.073599255497382,,,0.2,6.39,10.7300853485064,,2.68,0.22,0.268125,,0.4596322941646621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,98.09,114.0,98.08,98.1,,,13.43,99.55784264267106,6.980865184229514,,98.08,98.1,0.1,3.0,0.0,2.9,0.1,0.0,0.0,0.0,0.0,10.729518663757483,36.3575225412657,36.35850951307676,No_database_info,88.89,U1368,U1368,No_database_info
329-U1368F-13R-2-W 120/124,,,,,,,,,,,,,,,,,,48.985,2.28,13.883,,5.666794985535198,,7.031884513018322,,,0.2,6.4,10.7300853485064,,2.63,0.24,0.264,,0.3796203796203822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,98.22,115.0,98.2,98.24,,,13.48,99.47170572812678,7.038041252912402,,98.2,98.24,0.1,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,10.729527381984392,36.55462785404834,36.55560433350403,No_database_info,89.02,U1368,U1368,No_database_info
329-U1368F-13R-3-W 52/56,,,,,,,,,,,,,,,,,,49.29,2.31,13.92,,4.298527968574637,,7.570324828282827,,,0.18,6.38,10.86230440967283,,2.66,0.25,0.2475,,0.4999000199960789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,99.04,116.0,99.02,99.06,,,12.71,99.3097044296689,6.609807421264879,,99.02,99.06,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.861781316058448,36.32913669142099,36.33003847656365,No_database_info,89.83999999999999,U1368,U1368,No_database_info
329-U1368F-13R-3-W 131/135,,,,,,,,,,,,,,,,,,48.21,2.25,14.28,,7.334311416824797,,5.477119724857682,,,0.2,5.77,10.97418207681365,,2.73,0.5,0.243375,,1.058518074695443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,99.83,117.0,99.81,99.85,,,13.42,99.6360751515091,7.555378899630367,,99.81,99.85,1.0,12.2,0.0,11.0,0.2,1.0,0.0,0.0,0.0,10.973667701426171,36.36778693168639,36.368653171262814,No_database_info,90.63,U1368,U1368,No_database_info
329-U1368F-13R-4-W 22/27,,,,,,,,,,,,,,,,,,49.367,2.34,14.12,,5.925817255304586,,6.051764470225873,,,0.17,5.96,11.01486486486487,,2.74,0.41,0.251625,,0.7199999999999207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,100.195,118.0,100.17,100.22,,,12.65,99.74348986486478,6.516863008116231,,100.17,100.22,0.8,5.1,0.0,5.0,0.0,0.1,0.0,0.0,0.0,11.01433305302358,36.11389482693338,36.11478797746705,No_database_info,90.995,U1368,U1368,No_database_info
329-U1368F-14R-1-W 39/43,,,,,,,,,,,,,,,,,,49.82,2.27,14.12,,5.875676398630299,,6.177891241232731,,,0.17,5.79,10.88264580369843,,2.73,0.47,0.251625,,0.6990213700818527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,105.51,119.0,105.49,105.53,,,12.74,99.9432921737803,6.828484795279705,,105.49,105.53,0.5,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.88211399185714,36.292028533557264,36.29293051695639,No_database_info,96.31,U1368,U1368,No_database_info
329-U1368F-14R-1-W 140/145,,,,,,,,,,,,,,,,,,48.147,2.2,14.01,,5.780941190061534,,6.974152928944619,,,0.21,6.86,11.1775960170697,,2.67,0.23,0.27225,,0.5994005994004448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South,,,,106.525,120.0,106.5,106.55,,,13.53,99.90624661647014,7.160935436669296,,106.5,106.55,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.17702061409388,35.94665507438108,35.94762002380768,No_database_info,97.325,U1368,U1368,No_database_info
