,Rb,Ba,Th,U,Nb,K,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Ti,La,Ce
ODP0129-0801C-001R-001/014-020,1.6502003893570445,1.1577376527970986,0.9213408327832859,0.9451715352504879,0.9998982059931676,0.7309685106717689,0.4372894036236868,0.8898231020830297,0.8865814724695456,1.0749973932659604,1.0123328709127353,1.2359990119833983,0.9295275529020807,1.576494335330424,0.8762743317927881,1.137949964321552,0.7243378974641642,1.0,1.0,1.0,1.0
ODP0129-0801C-001R-001/109-114,1.982860567621633,1.8501943307070705,0.9916611465798719,1.23240742138183,1.1790395402817062,0.8899247545783993,0.7685981714790231,0.7194973878832195,0.8956556957935903,0.96985974706623,0.8838378128471802,0.900928535823005,0.935651745748768,1.3451721749769372,1.1931554047157475,1.36229965219008,0.6450229990231997,1.0,1.0,1.0,1.0
ODP0129-0801C-001R-005/033-038,2.2569528982335805,4.250250727631534,1.0210373358920826,1.4503964240497953,1.1742522067213452,1.2894145348821398,3.623980099722111,0.922455248713514,0.8785128200752402,1.0272793421706863,0.9787159283463623,0.9810472451951753,0.959677722433964,0.7952368425440722,1.5749842195156518,1.0427556558627125,0.6775875847016213,1.0,1.0,1.0,1.0
ODP0129-0801C-002R-001/112-118,2.0927502553640167,1.4975636816011355,0.7668555079788117,0.869510884055502,1.044492748657125,0.9571538785461533,1.6260150220310463,0.8494550463565792,0.8929934071024381,0.984997529952072,1.2032770965707222,1.3286187800766578,0.9491357566207286,0.7953200795854289,1.310604430245496,1.0956152975159152,0.7242904098193461,1.0,1.0,1.0,1.0
ODP0129-0801C-002R-003/114-119,2.443490278192905,2.0206322357067084,0.9593108553217516,1.6494150309370075,1.1012758700270857,1.2801527779571549,0.7814564389038963,1.0174791652583872,0.7175307103332713,0.9622060767753033,0.8588309232242336,0.8689155320483211,0.9444868883168531,0.7499290490305255,1.3364053454735607,1.118032137310684,0.6466140267951654,1.0,1.0,1.0,1.0
ODP0129-0801C-002R-004/071-076,2.2605566747175305,1.4320820422198892,0.7826345935414062,0.9158343948349972,1.0096193049439859,1.0337243244238117,1.0921910193390791,0.8827037405547209,0.8893404829642166,1.0148930151112874,1.1404031482961647,1.2564350012698784,0.961781785602671,0.9348251491560454,1.2889297008328395,0.9767479679455966,0.7114367223416543,1.0,1.0,1.0,1.0
ODP0129-0801C-005R-001/103-105,60.946373578953576,15.645223631004708,0.9256612785258532,7.311047523678127,1.3317462666757525,38.6423459315257,2.2747924644936464,0.9042915510516626,1.3988571300381871,0.8067421785650764,0.5899699284628336,0.5323421601143469,1.0460767125153256,0.23255566478785497,0.5762603319405336,0.2089075423651613,0.4495577890358291,1.0,1.0,1.0,1.0
ODP0129-0801C-005R-002/087-089,36.86921413529441,2.706169684751209,1.4025403474685307,5.651586672038233,1.9060633594275185,5.889351688589567,2.6823573753867564,1.9965325705227857,0.9904912533189267,0.7151473670364228,0.6721832178699021,0.6093548442629415,0.9108452517619603,0.393229986070422,1.3278851280916035,0.21800751428031867,1.1471548999542167,1.0,1.0,1.0,1.0
ODP0129-0801C-005R-003/038-043,4.58555578953917,2.148070305746443,2.2034336951459137,4.343066968935398,4.330662923228716,0.36542535283338123,2.339973034367896,1.6733890285216744,1.012968547425015,0.8472768195878919,0.739295324122625,0.7196661530205005,0.9239698924517589,0.6166888679988921,1.2063483152054593,0.7428131984263233,1.1221539305187251,1.0,1.0,1.0,1.0
ODP0129-0801C-005R-003/125-131,10.722494106443284,0.32568791871949565,0.25177110352193555,4.876628892090018,0.2545154032869358,4.390408552498905,3.9760909299221305,0.6998744121401657,1.3764802862926215,1.9544433600077833,2.0530879518110092,2.201333219362486,0.9232251102473756,0.4987377659345593,0.6041965635245803,0.5096531776817166,0.6439067237705086,1.0,1.0,1.0,1.0
ODP0129-0801C-006R-002/029-034,6.412254194249765,2.2424155355459545,1.6926947235005068,7.2242614201961235,4.282995250948906,0.5343526367320613,3.8311808040506627,1.226506442158945,1.120045510136753,0.9738411896179052,0.9315273884132789,1.0144712576757036,0.9589819554737907,1.021779662804233,1.0769512398303067,0.7603961792895368,0.995862387796061,1.0,1.0,1.0,1.0
ODP0129-0801C-006R-002/119-124,2.1674158614846153,0.8578848846062284,0.4138519255847741,0.3782073908229485,3.125442206328463,0.11125648632474236,3.47549630654256,1.2324341981467437,1.2553522852239762,0.961830020760789,0.8759312817315481,1.0199723460753856,0.9338715543112827,0.9086331406510133,1.050250490001061,0.11909882822978886,1.1205565436887124,1.0,1.0,1.0,1.0
ODP0129-0801C-006R-003/037-042,6.747978675803283,0.5107353652238562,0.19669714162443097,11.129468174725586,2.380453222911577,5.139908459658449,7.217809315097013,1.6242881522105332,1.0785539954695373,0.7616795877408264,0.6514642248625735,0.7547895998358094,0.8059225222743718,0.3342595536018987,1.2747679849972182,0.13874586262573113,1.4517258283454935,1.0,1.0,1.0,1.0
ODP0129-0801C-007R-001/053-058,0.3846600837921896,1.458914626645644,0.666893660169914,0.6886168664814516,1.7783863712889376,0.1532096573053648,5.095744015795482,0.7930328829316587,1.0356784408803852,1.2448041171250142,1.1439328761803012,1.3161217844422561,0.9764321027169675,0.9686090929684129,0.9508152597838927,0.8517909779039388,1.0141188874189415,1.0,1.0,1.0,1.0
ODP0129-0801C-007R-001/099-105,2.0626366418246023,2.6162461657985494,0.8362396575449719,4.229221006048112,2.705876774414257,0.30624477690658647,10.207602740130588,1.232720311074383,1.1475633821002624,1.0149701900523231,0.9869548100037686,0.9885841069349938,0.9303482854172255,0.9442194524049313,0.9872944002095746,0.8541642976677185,1.098909423148177,1.0,1.0,1.0,1.0
ODP0129-0801C-007R-003/000-005,15.271148995680539,1.4865121102895524,0.8009054460019042,2.605052951592665,2.218173106443777,1.708428135316418,12.584550913923646,1.118174691732022,1.0065916558788555,0.9864032648909182,0.926298347356005,1.046652604936684,0.9394379650950729,0.8879129921679421,1.0170980161461467,0.5878491810277314,1.0221226843071696,1.0,1.0,1.0,1.0
ODP0129-0801C-007R-004/077-083,3.942996092021484,1.818796186335632,0.808109337058067,4.375884910685388,2.7436813368913215,0.3743795238836849,14.123407654177859,1.2611588757145529,1.0222689574058281,1.0414802508925431,1.0376971598638924,1.023574399355682,0.9693116700463055,0.9856253688779948,0.9905096839004044,0.4880927165597582,1.1133202717517203,1.0,1.0,1.0,1.0
ODP0129-0801C-007R-004/137-142,1.1596464261255504,1.9992590822970098,0.7246265756219066,0.6890202234451279,2.3300745861245815,0.300365000286382,7.35100066807357,1.1318021990158322,1.043661284924525,1.036729145722811,1.013550564285672,1.143765878957142,0.927229217555436,0.8907348707315519,1.016501704515697,0.5279570369691006,1.1180088212291033,1.0,1.0,1.0,1.0
ODP0129-0801C-008R-001/065-067,55.85426038825424,3.0973473481448326,0.9165685993330382,10.234213237272517,2.473159392129978,4.617609419712182,4.011495092397457,1.4196495436194752,0.9313366845315804,0.9068218086722505,0.8033200213734922,0.7833794408241321,0.9298446158609143,0.4473001710170437,1.2460125440029504,0.6374969318801101,1.053842222876882,1.0,1.0,1.0,1.0
ODP0129-0801C-008R-001/101-106,2.6699822683719243,1.0167315102546624,0.7761300831852783,0.6948424142024395,2.3868874976588286,0.35386710007608496,7.524574543720025,1.0792690947950656,1.0150281016533385,1.06214896783592,1.0382536315611604,1.1711160512541774,0.94284225579613,0.9338128206812022,0.985956373938931,0.5309247621897881,1.067833531518774,1.0,1.0,1.0,1.0
ODP0129-0801C-008R-002/078-080,4.687742600240695,1.584010876054391,0.9174064496222897,2.2869990178123896,3.1903024707143146,0.42757384060637793,15.427628162008443,1.3337183114218178,0.9908854289934981,0.97800678384734,0.9974258937885025,0.9623892431957369,0.9429492212997487,1.0388575637497113,1.0032548077907586,0.8474560601714523,1.2005340181036757,1.0,1.0,1.0,1.0
ODP0129-0801C-008R-002/133-139,5.44570916544665,1.7491572972220404,0.5459999328345788,4.595537037876628,2.0359570151368334,0.47072055588257494,12.463727001528625,1.1834299613273067,1.0754751036103747,1.0568787243088342,0.9847276278542154,0.9964149998022096,0.9579554341727851,0.9422326398653086,1.2583772643408389,0.9329853007871445,1.094317892237562,1.0,1.0,1.0,1.0
