,Rb,Ba,Th,U,Nb,K,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Ti,La,Ce
ODP0185-0801C-038R-001/022-027,0.498143926740645,10.0833682225538,0.16724830377056965,0.07730618203886681,3.293112123289527,830.4450824713958,0.4814538210591944,101.34615182559163,14.23548619175494,52.1155153058435,4.852808526993224,0.7246805488864427,50.14391364170323,6.6368907048965164,2.811652939699509,0.20957695775503574,10.380208616473002,155.0,13125.41224786207,4.5,14.399999999999999
ODP0185-0801C-038R-003/053-059,0.5536674558168462,12.22694075954354,0.21226434553124843,0.09509969639870469,3.347147139556069,1030.2436748000705,0.5133782197682267,98.79119796574265,13.147582725784165,50.280120019167825,4.747293011373283,0.7081435001157096,50.277453592589985,6.447781380000813,2.756592117897941,0.19095605760525902,10.685489395434704,144.0,13185.345637121713,4.24,12.8
ODP0185-0801C-042R-002/034-038,0.42430740923961113,8.598246306914495,0.13715224062279097,0.08627511986799069,2.093949492088373,676.8169679530549,0.5841592836253119,106.4479401843157,11.009900210649574,40.327586173515506,3.870994082471753,0.6007927952391833,50.22330051371419,7.549566623647922,2.777014887528599,0.17747785251464013,10.627208566355273,117.00000000000001,10308.542952658796,3.44,11.2
ODP0185-0801C-043R-001/013-015,0.5103738935109483,8.430159118554103,0.16512763245029546,0.08625921715404376,2.674644368797606,928.7515889082765,0.5335681762078575,103.44677367326777,12.779108190757086,45.890623879333496,4.730775523551017,0.7033970966262597,50.175871630613536,6.871748581799161,2.792813112359566,0.26454785775076767,10.571511359625742,141.0,12226.411408967408,3.88,13.1
ODP0185-0801C-043R-002/101-104,0.40110577039956524,8.2118475559995,0.13587141047443466,0.08617978707768321,2.2461392282254726,707.1044791015278,0.5784019433401606,96.24422437476963,10.462791438189107,40.682644266838615,3.874348242395619,0.5953596600645562,50.30108368032558,7.420635611946398,2.7125331129222854,0.1728028825449185,10.803114661278556,116.0,10368.47634191844,3.19,10.4
ODP0185-0801C-043R-003/050-055,1.3196153468853666,12.552933290826251,0.12690881989162786,0.07195095321484203,1.9199621351790641,1195.0593453468325,0.6512750890946305,102.67573522908161,7.506000522251601,33.8581308749595,3.120194652229092,0.48223207190597517,50.10756990330431,7.650492671699048,2.564721965091915,0.11139496846154623,11.378975919951465,89.1,8031.074160792317,2.3,7.209999999999999
ODP0185-0801C-046R-002/048-052,1.285600782794558,9.579646041660581,0.15905659223860005,0.07665013772172145,2.3263344727407076,1168.1976143231295,0.536160905085576,108.69761142615484,11.736210110244075,42.84695188381164,4.228492445304788,0.6137877674257192,50.104860102174605,7.486108009661467,2.8124037575743492,0.20724595487715514,10.552551527786516,125.99999999999999,10788.01006673595,3.79,12.6
ODP0185-0801C-050M-001/029-032,1.5118809075679829,11.11058097570953,0.15043458567017517,0.10663956754393833,2.911020866578094,951.2832849635729,0.46800888516779704,103.43620675311884,15.03392124129243,53.490287045750236,5.257884692935757,0.7854939157912477,50.05837307423486,6.455265411321198,2.8035317248518217,0.24976643460443768,10.250648876225021,138.0,13724.74614045851,4.84,15.700000000000001
ODP0185-0801C-052M-001/047-049,0.4727657642594561,8.337223301287095,0.12946597406321447,0.08355857711081935,2.578113158106733,897.6959199005495,0.49343918932638525,100.83322822843174,14.22329935907199,51.43621280931098,5.14097182631007,0.7626994596135761,50.09361910995333,6.543157171733342,2.7960160082340533,0.2928849873910038,10.5818426917284,145.0,13005.545469342782,4.19,14.299999999999999
329-U1365E-2R-1-W 36/40,0.5702934502006578,11.339860591703859,0.18970701437336346,0.11726909946339577,2.1849244945711135,694.4358519570238,0.6597665714026009,108.25684907164603,10.146044211650793,32.01591199313973,3.1080579459634556,0.46310213315548326,50.18921790883322,8.043662702232423,2.562861932339321,0.1406204941079339,9.557384241160934,79.88,8870.141610427336,3.447293724345697,10.86411316215533
