,Rb,Ba,Th,U,Nb,K,La,Ce,Pb,Sr,Nd,Zr,Ti,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO
329-U1365E-5R-3-W 29/33,0.7900693548750832,-0.37084853054341815,-0.8810172585819954,-2.0665673953981085,-0.09151959674429833,-1.3916690205469373,,,2.4871159702568066,1.670527719893439,0.8302841758484556,,,-1.5033734469514641,0.2014145979913673,0.021982229134381193,-0.8392250912750612,0.0938254542968533,0.28884693692305774,-0.003092997729031516,0.6964347675502474
329-U1365E-5R-4-W 53/57,35.07654966726178,16.505227795812683,-0.7682878918997659,5.154386811666221,0.05381622416439491,28.934495399886455,,,5.7777751853454085,1.5528379659846996,0.38304320600643127,,,-2.1888453571380317,-0.4970615475437512,-0.4044169347528861,-3.2019359834487133,-1.4612918243690212,0.11637612260311547,-0.05733527296348681,0.6620780751254216
329-U1365E-5R-4-W 86/90,15.009000615919952,5.223057779858627,-0.8069864238826792,1.3332455737150566,0.2358843958355703,12.21055978381198,,,2.586553317674062,-0.053117622216867666,0.5479232395080711,,,-0.8285210690956282,-0.48623819592349715,-0.45471524619020265,-1.8316422951894396,0.6519198597801052,-0.24227850309775434,-0.013940590318448881,0.25670600135649124
329-U1365E-5R-4-W 144/149,-0.2743550048529231,-0.5855179394105157,-0.2538924037399607,-0.5856617290068307,0.05978515949872665,-3.0376280679339027,,,0.9712419173754565,-0.2864552730137939,0.6833872982373661,,,-0.34225442038859644,0.027280162262907304,0.03893033526672607,-1.243738813294648,0.9311079668566702,-0.05014439998498155,-0.004818228630838403,1.0875732347199971
329-U1365E-6R-1-W 8/12,20.195879958473583,8.82476154537864,-1.5962477871751382,11.41426473102784,0.1488153963930836,25.86691309710615,,,12.153571731665881,2.6717153437759293,0.23301341462539327,,,-2.100145106194562,-1.0317478999029825,-0.9632615476089512,-1.5512613436034783,-5.046285450049895,0.22233124126110004,0.003910834518914982,0.6922007304128694
329-U1365E-6R-1-W 26/30,-0.8570227085583111,-0.18146711482050926,-0.2194128726934238,-0.7622187612798037,0.07129643784738726,-4.780635462631914,,,3.558643483419167,-0.048461243146970645,0.5380359589810144,,,-0.3225453947519208,-0.4511218120916327,-0.25141644220099213,-2.302909181336979,1.5744647199985122,-0.1738433468462386,-0.008260293269478566,1.124593371294381
329-U1365E-6R-2-W 19/23,-1.9492840096359934,1.4290383937735198,-0.7543752795795666,1.7309874158465273,0.10113069635303562,-5.790791615268997,,,2.5578850651710674,1.698977219216192,0.6237504937451024,,,-0.843009356633015,-0.5510803027089821,-0.2519854043025562,-2.6112509423930987,1.0441128685586962,-0.03646867546228272,-0.013192150151794091,2.4797642226411334
329-U1365E-6R-2-W 99/103,-1.6755113754654023,-0.8205202254720065,-0.20933066892706154,-0.9996097403431325,0.1256592299504975,-6.628098343573544,,,1.2538657405475773,0.609581409409448,0.5149455258164961,,,-0.22488729139325425,-0.3151684978264475,-0.3213709314636102,-1.5814714249252262,1.2688393308661752,-0.08228333785929198,-0.007734579085959231,1.8035938894339605
329-U1365E-6R-4-W 8/10,17.318353414614595,1.674827837113755,-0.6757089152627291,1.7810943167991815,0.09948345672570325,6.928741561010199,,,4.754099452928959,0.7965525080636957,0.5983634376333944,,,-1.1371607996595392,-1.186074772425287,-0.8415051186083717,-5.321692333337609,-0.2927948692158653,-0.2500391276930385,-0.01653862877970881,1.7654818300404234
329-U1365E-6R-4-W 10/12,2.0352885351461802,-0.09809677614402856,-0.13573347239868605,0.4385610624587257,0.21360543190153924,-0.27897124816037566,,,1.8694085957146571,0.026510222535918615,0.7161363087593875,,,-0.7112758264230434,-0.19612334381530871,-0.08098828097438915,-0.3210357910531201,0.24159368450948904,-0.006181887025508814,-0.011976163859757527,0.8947490376440026
329-U1365E-6R-4-W 19/23,33.09588582904954,15.827261676948748,-1.4841115071313764,5.801909705441927,-0.6215283852648894,40.56749732311242,,,23.753437275202373,1.0887466056994208,0.7304168140151832,,,-1.2479765696363923,-0.4424100831584985,-0.16195932897085896,-3.0541516283629804,0.06730994904057219,-0.5578126691995733,-0.0005311648689018955,-1.8046879628059784
329-U1365E-7R-1-W 41/45,-0.8107882326625715,-0.4367029300208993,-0.15694349121212803,-0.8650638982717558,0.12092055227685528,-4.178247826102853,,,7.355707636770374,1.8913711391552974,0.38002841585745806,,,-1.0182992566288553,-0.44264491173177056,-0.4601005231112092,-2.037457479296563,0.4443582687461376,-0.517345327300434,-0.01457005662415796,1.2060836840335156
329-U1365E-7R-2-W 131/135,15.798671939235442,2.427276470574898,-0.4617134429200558,3.6455759771161866,0.030841547124083712,11.178459737334292,,,10.017923398233014,1.6085209993062515,0.2810891690169459,,,-0.5757497786461054,-0.18915643935668403,-0.2270952294537576,-4.56483701569465,-1.9401630234147191,-0.1315869230166431,0.0015027238862340836,0.7500791232243547
329-U1365E-7R-3-W 0/2,28.30618359230669,3.9702780038673873,-0.495443621862425,2.700523915503163,-0.533003628064479,31.037811161239816,,,12.531839949299874,1.4551572700349804,0.6840750402513698,,,-1.1889496953097067,-0.6717356167801691,-0.6621959432896762,-3.785748429380007,-3.1562566090802147,-0.22036728051715349,0.02199333948849877,-0.2797288540245759
329-U1365E-7R-3-W 2/4,62.23923144305927,29.698036831336772,-2.6572359775433085,15.982144558776822,-2.8443734800538243,118.45508492665567,,,11.94418600718081,-0.40781089926574854,0.7130100161563382,,,-2.416757907607781,0.2502125268599915,-0.01024462780801505,-3.609010063155452,-2.914051619832418,-1.4346609961695618,-0.014419181130199327,-5.331910301586455
329-U1365E-7R-4-W 0/4,0.22995098959120397,1.4618805729690143,-0.28074420320249477,-0.5864363776692005,-0.21068152556136543,-1.6463402910771294,,,6.386190252568734,1.725956049759732,0.7699945296828852,,,-0.8268140080773514,-0.27837169721711064,0.0958582840190636,-1.4071828065225276,-1.401041055243759,0.04468990158334529,0.008566614619120685,1.45504870905134
329-U1365E-8R-1-W 41/47,50.66665694722235,85.04447439478656,-3.1179557177325368,14.917990953962121,-2.9820708601042085,98.81458204417363,,,4.654433589832457,-0.4664191689110657,0.7598902701158652,,,-2.666675252662732,0.21360593741765,-0.2038199596592003,-0.928672629877255,-3.296275829137284,-0.5681936535502137,-0.03259989749782781,-4.709532620507645
329-U1365E-8R-2-W 49/53,-2.2661065782150382,-0.5630519474198432,-0.2119727707195736,-1.2581368722944188,0.12197960520875306,-7.202037810341152,,,6.545351836299385,1.874382573249588,0.24185354326683317,,,-0.6351417119468508,-0.36248443344421766,-0.49534024100936325,-2.8564399710965915,1.5517338874224773,-0.2744251365759487,-0.011972916768206193,0.30316655599943587
