,Rb,Ba,Th,U,Nb,K,Pb,Sr,Nd,Y,Yb,Lu,SiO2,MgO,Na2O,P2O5,CaO,Zr,Ti,La,Ce
329-U1365E-8R-2-W 49/53,3.3952727307805084,1.1683763291503138,0.565294728633203,2.439486232067133,0.9346887533991736,8.249458659555273,2.855415386365148,3.3483662419162883,4.088760852151434,4.527961804284594,4.8104903623124455,4.8854271730500995,50.36643997109659,7.588266112577523,2.454425136575949,0.0820979167682062,11.749109404171264,3.2857142857142856,4.0570294268066815,2.116593380025658,2.795907239091396
329-U1365E-8R-2-W 117/119,1.6455550295592802,1.204810152082914,0.5711831678903555,1.9286336463691174,1.0737734771404723,3.3570172801214264,2.2670237968136084,3.8105638755160705,2.823833405924392,4.386523396554727,4.211749606491099,3.742944547109444,48.88740215167086,8.41170353391028,1.9358300071640522,0.053183581114060394,11.888293536446985,2.7883928571428576,3.4115929270874368,1.7071804101319021,2.248997147515828
329-U1365E-8R-2-W 119/121,2.731547225939419,1.0511075097385134,0.5294128571408243,2.2966371744362855,1.0033049631497997,6.068291456810766,2.8549416452602325,3.4524140495863613,3.779519608608997,4.364425193848276,4.572840332679986,4.718185524455801,49.773438722744416,7.571874036362295,2.2229215422523927,0.0721865536808889,11.563199967397654,3.10625,3.9648242125610755,2.0357486755480685,2.695449187183634
329-U1365E-8R-3-W 41/45,3.1298374692134057,1.1657524673017932,0.5422727416830604,1.8555449787266747,0.9373826080419849,3.7452455386424846,2.9076683270541923,3.716146768117082,3.4021391567653296,4.092360620892227,4.25602088754969,4.167157434162626,49.2597522312352,8.629022902524193,2.0210692972139,0.05589329495819751,11.466657197760103,2.905357142857143,3.688208569824256,1.9130851161908138,2.510635336604848
329-U1365E-8R-4-W 8/10,1.180257997975636,1.0234657021377775,1.3330098699065944,2.4587088992592108,3.4347442322374873,3.46153564643586,14.180935174055843,5.822312659404244,10.307663818998968,8.878272442159295,8.238277472692099,8.231284727942887,49.604431906198585,7.524015415429666,2.8144721779038453,0.3139290342950581,9.96894219044807,10.0,9.63544488866587,6.104132694852769,8.782591853601758
329-U1365E-8R-4-W 84/88,1.1415437037612672,1.8136421035059906,2.066534274619593,4.244191133375778,3.4582537796490755,3.455322817153645,11.993912365032571,5.7084346365302645,9.137098844270463,8.378733756910549,7.530882616859877,7.805868132776454,49.67749037647749,7.884624959295704,2.773330296305172,0.19083165925972606,9.6064388134062,9.061607142857143,8.990008388946624,6.278576074075371,7.687331760886587
329-U1365E-9R-1-W 84/88,1.1822723852382957,1.2002037979448024,1.7101646230764644,3.1582225353854865,3.27354550238308,2.8958509936884727,12.923727752035576,5.0630299768683855,8.942075930272926,8.26667590148558,7.529098126189664,7.350226868163406,49.692455985495464,8.072416147944047,2.7912191392099586,0.22679832961031932,9.12578539985559,8.435714285714287,8.34457188922738,5.6635440366895065,7.359036383238699
329-U1365E-9R-3-W 138/142,1.1348389261188887,1.761364882877531,1.9147424012958727,4.384074409319938,3.531376773425746,3.6144571208346115,10.435012894196475,5.4323538608881865,9.07794763571257,8.557038510744908,7.802513706511298,7.912515634057212,49.792149649012295,7.90077231860854,2.761677289567171,0.19338765371685684,10.015991625632203,9.075892857142858,8.805597960455412,6.012446609813119,7.403044962481939
329-U1365E-10R-1-W 46/50,1.0790984445786473,1.3177998223107839,1.7024860974091844,4.023974208393352,3.499770044880451,4.454715537170822,7.689819876763385,4.972506732699523,9.42401340008907,9.88709565440106,9.445535560251354,9.42240123098748,50.06286382216465,6.883690053421051,2.800252166700995,0.23971217680257076,10.454851341714487,12.06875,9.294285595957126,5.812377643274573,7.5128577151909814
329-U1365E-11R-1-W 75/78,0.8974082676328131,1.8336405772977842,2.0912113245837727,4.170530350323028,3.6830515220947766,3.5642969317384123,10.703143583716347,5.4159381112255724,8.933562131098105,8.499721773816024,7.739426137776016,7.8233214189709175,49.84860653432386,7.902484002800683,2.773073277323819,0.17775112008642768,9.825863821008223,9.025892857142859,8.759495353332609,6.000739974406672,7.264818561515482
