,Sample ID,Top Depth (m),Bottom Depth (m),Depth,Sample Pair,Sample Pair ID,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,TOTAL,FeO,Fe2O3,Cr,V,Li,Be,Sc,Co,Ni,Cu,Zn,Ga,Ge,Rb,Sr,Y,Zr,Nb,Cd,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Pb,Th,U,Coment,T Dep,B Dep,vesicles (%),Total Secondary mineral (%),Celadonite(%),Saponite (%),Fe-OX (%),Carbonate (%),Chalcedony (%),Zeolite (%),Quartz (%)
10,329-U1365E-4R-1-W 22/24,85.72,85.74,85.72999999999999,F4,,50.15,1.44,16.42,7.57,0.13,6.66,12.215007112375533,2.96,0.39,0.12787500000000002,1.918848690785495,99.981730803161,3.217553054740958,3.994941050287825,289.55,257.46,32.125729017341044,0.30779819832463495,45.4387641453983,40.09963580476744,46.58328940607526,62.4889478971301,73.66084572659804,15.969552276595746,4.35669596121095,3.031928698170005,145.58,24.366093023206975,75.21,1.8401323518129509,0.1421869382836917,0.7682633968238738,0.055127087841246716,8.363760113728672,2.840253137673426,9.910184717891852,1.6888420392798185,10.298588455832475,3.200706285974647,1.2319665692414752,4.161444307677624,0.7614875243668867,4.9149687591875315,1.0284605306832755,2.957448107074569,0.4621362719058907,2.969390680851064,0.4404149191919192,2.602769544868751,0.3254865139050118,0.09908359167261169,0.22780382937826715,,85.72,85.74,0.3,7.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
11,329-U1365E-4R-1-W 24/25,85.74,85.75,85.745,A4,P4(F4),49.18,1.4,16.07,9.99,0.13,6.25,11.594594594594595,2.9,0.49,0.12375,1.6586730615507985,99.7870176561454,3.0218920235772355,6.632342196025294,280.88,273.23,26.32709989081194,0.3545856348039982,46.11153459644749,35.68251550008637,50.35831386517912,49.937095779565816,66.82846760676874,16.090808922077922,5.660600688750537,7.0828118888855665,143.79,24.208704800219696,72.01,1.793398877057115,0.1288410416274251,0.7315794644950336,0.2032398081534772,15.39754870330493,3.025927794138468,9.719588723404254,1.6393225021267102,10.080425689617684,3.1898786684539213,1.1908351654877303,3.9266963326585596,0.7252058768292344,4.770830503897688,1.0043444814284692,2.915964729605866,0.4597370421344859,3.0017991876138432,0.4381350278650238,2.560454277134277,0.4400138463330809,0.09314978841632826,0.24869502076843197,,,,,,,,,,,,
12,329-U1365E-4R-1-W 37/40,85.87,85.9,85.885,,,47.33,1.35,15.01,11.46,0.25,7.12,11.950568990042674,2.69,0.36,0.119625,2.218668798720923,99.8588627887636,3.2984111558654625,7.795098715705043,264.09,276.04,30.462113793808683,0.3550421154245813,44.12271613707165,38.63988651566499,55.750232761520344,44.78633181175309,70.13037068062826,15.845453356739307,6.428104818688234,6.8811464445153065,140.93,24.478047518562654,70.54,1.7587820656584283,0.18064074964860224,0.7531363333333335,0.19944905856259731,164.75570355871886,2.9304333770894324,9.454310785406639,1.6447190932946234,10.029652803123302,3.038429632244401,1.2314348330711413,3.9544772696786024,0.7264946514645901,4.784884695314177,1.009497431105023,2.994262625905397,0.473314037757417,3.011194416454314,0.45843633420676044,2.512013135323742,0.4562034292356873,0.05731729332935001,0.07740081937410724,,85.87,85.9,2.0,4.0,0.1,3.0,1.0,0.1,0.0,0.0,0.0
13,329-U1365E-4R-2-W 88/92,87.75,87.79,87.77000000000001,F5,,48.87,1.37,15.37,10.46,0.17,8.23,11.950568990042674,2.62,0.08,0.119625,0.7389654483723305,99.979159438415,6.53309939197531,3.20100067558299,286.65,268.88,5.967457021276596,0.3233311272631162,44.45872461754168,44.19229303315902,63.1377081623347,61.73956496956281,72.08741010830326,15.88285644277513,5.634155823480052,1.0915420521112202,135.16,24.521950256086,74.01,1.684903121387283,0.17212354344122657,0.643319622858788,0.05297152542372881,10.449834219484519,2.882878445297505,9.829398329743489,1.656179453728994,10.160853972155925,3.1305552008181783,1.196136910569106,4.089454503724359,0.7534590234085509,4.903043760186796,1.033798225148683,3.0003847531572903,0.4804685324849297,3.1054106033129916,0.46132718502202635,2.5062903278354707,0.559425448244689,0.087827600232423,0.05183828407445153,,87.75,87.79,0.1,2.4,0.0,2.4,0.0,0.0,0.0,0.0,0.0
14,329-U1365E-4R-2-W 137/142,88.24,88.29,88.265,A5,P5(F5),46.34,1.35,14.85,12.54,0.12,6.65,11.147083926031295,2.61,0.82,0.12375,2.9970029970029333,99.54783692303425,3.026813671824104,9.176873697973218,270.16,283.48,34.55632040808616,0.31478730828660995,41.78029938711695,32.75193447449293,45.12836280487805,28.260475122837722,69.46489073359074,14.771419540646425,6.392831973550355,12.13945221511155,130.67,22.822855472972975,73.19,1.6717751627735882,0.1254408381415123,0.7417745489443378,0.29752396066160036,25.301149481865284,2.6953527115753575,9.1752297440585,1.5542425841101302,9.435744305689717,2.911508205443941,1.1257513156671317,3.7837211066788936,0.6985617700593086,4.533794587786259,0.9540881079712079,2.7782575191424197,0.4431724530204337,2.8664080429483465,0.4262074329249136,2.369684913090711,0.5206595190380761,0.08080074723009534,0.1032040420977524,,,,,,,,,,,,
15,329-U1365E-4R-3-W 10/13,88.4,88.43,88.415,,,47.44,1.42,15.56,11.5,0.16,6.2,11.350497866287341,2.63,1.1,0.103125,2.459016393442574,99.9226392597299,3.0948602739383846,8.061266362290684,269.55,292.8,26.602363345190764,0.44166803841332664,45.19866181251947,34.34497301477969,58.12120180459228,52.32171006552084,84.12282173913043,16.695216217954247,6.5891947933884305,15.534528567870488,137.48,22.74176987836784,75.73,1.8906461762671214,0.14604704624564896,0.8673104724847138,0.6153562301681269,69.37591873536299,2.8771580332593185,9.455746340598074,1.6177258878752743,9.726716288109245,3.022435044793614,1.2215274766028164,3.876267999411467,0.712863919357983,4.7850483095856,0.9740706112315659,2.9132828640528663,0.45537803810747535,3.010653821025828,0.4487375344848461,2.61007755109068,0.5742671982833614,0.06022900669024589,0.19896132501948555,,88.4,88.43,0.2,17.0,0.0,10.0,6.0,1.0,0.0,0.0,0.0
16,329-U1365E-5R-1-W 8/12,90.58,90.62,90.6,A6,P6(F6),49.39,1.46,15.59,8.5,0.13,7.46,11.187766714082503,2.73,0.94,0.136125,2.259548090381808,99.78343980446431,3.5311720191570886,4.5764755342699015,183.21,283.16,48.55807943806113,0.35786065708206816,47.65106704856787,50.638257603935706,64.77357255509875,71.97763568856928,85.03155653923541,17.07214664342511,4.96935900045544,14.932476065260264,128.52,26.72343031439603,79.56,1.903147783005812,0.14566474997680676,0.893365376344086,0.967960844146585,36.73077983508245,3.1866069256948384,10.360214562737644,1.8049053782264601,11.002311972804813,3.4105822702595447,1.2927270588235296,4.256759833417764,0.7991016108249819,5.275898225950634,1.1081230607913637,3.2528387429624317,0.5190723944999382,3.2249377121046896,0.48538135504918906,2.7625908496732023,0.7830144725420984,0.061784508360634816,0.12623443144899288,,90.58,90.62,0.5,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
17,329-U1365E-5R-2-W 89/93,92.02,92.06,92.03999999999999,F6,,48.98,1.4,14.68,11.04,0.18,7.85,12.001422475106686,2.48,0.11,0.12787500000000002,0.7391130643228643,99.58841053942956,7.238660863027805,2.99704348552466,181.44,294.57,7.098918342927244,0.3188194646254591,45.0287959265652,44.23551968704863,54.269123681394284,57.36319176867877,81.91130544398742,16.24971455626457,6.11056669117086,1.6822752756824633,128.47,26.10147732416711,76.41,1.7283053848280945,0.5122871190956495,1.0052713153222324,0.04225631035445157,3.6714596635937244,2.9975078009801837,10.388044262948208,1.7416539199555479,10.62066477281959,3.2805672539798283,1.2453470388462433,4.294594617045672,0.7902401594479631,5.160449362647769,1.0967174354637115,3.19130291842206,0.5043718601613694,3.267317544479861,0.48756685194479293,2.6275349045710787,1.5477613024139139,0.08913117166913043,0.054047320923279546,,92.02,92.06,0.2,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
18,329-U1365E-5R-3-W 29/33,92.77,92.81,92.78999999999999,,,49.46,1.54,16.09,9.44,0.13,7.71,10.750426742532007,2.99,0.09,0.14025,1.4188649080736069,99.7595416506056,5.026815662827226,3.854649263525304,203.38,328.4,9.324931588524096,0.31579501930700715,49.96838519763462,48.2584984426258,57.165354786480464,65.98935811381001,85.41009525341914,17.581609294825903,5.470449944371474,1.0262319435177902,139.61,26.234299171461455,85.69,2.053735995939648,0.22099518062650012,0.9942665170345639,0.013192326479988553,5.2515230855750294,3.3606256869236226,10.859794584178497,1.8920950654257924,11.307129347832854,3.4890207476135933,1.3398041349102061,4.312349217352599,0.7937866273310429,5.253505026526518,1.1254112602921647,3.282589638035342,0.5142733619981309,3.37285867707955,0.5026420260475651,2.924461225406367,0.6907963450545644,0.07239786312077826,0.046762535101404074,,92.77,92.81,0.0,8.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
19,329-U1365E-5R-4-W 53/57,94.34,94.38,94.36,,,47.34,1.48,15.22,11.52,0.18,6.44,10.221550497866287,2.42,1.78,0.11137500000000002,2.9188324670133174,99.63175796487961,3.62828225,7.488575277777778,187.56,310.06,25.12771653631285,0.442763612434297,44.560701904169264,33.25142994446373,44.17913039367952,41.89056271117153,83.41728009650181,16.74139536456577,6.480899917317188,22.509882581338854,126.79,23.20071628468701,80.36,1.9106301846040241,0.1483647307021036,0.8374021306607276,0.9489091109302437,122.13275662853925,2.8875001504684397,9.652061179305099,1.6270248621694308,9.956961974593208,3.156727747006394,1.2232416692968613,3.9123811803784028,0.7267305555141162,4.861347539060554,1.0083988769385501,2.9871001143561475,0.4790323055432998,3.059364511796734,0.46289779096228223,2.7488547279176396,0.6464166157746154,0.05858953552492044,0.15343447652490566,,94.34,94.38,0.1,10.0,0.0,7.0,3.0,0.1,0.0,0.0,0.0
20,329-U1365E-5R-4-W 86/90,94.67,94.71,94.69,,,48.29,1.06,16.06,9.3,0.16,8.26,11.025035561877667,2.28,0.99,0.08662500000000001,2.4770275669197783,99.98868812879743,3.6098490893155266,5.289056567427194,385.38,256.04,42.18797436466148,0.16944170232539343,43.51457947389722,40.90499053209548,78.85990020874014,43.179127165261185,58.15138805041136,15.139320726811714,5.29861042699341,10.579498836307216,102.05,19.994228587257624,48.91,1.0266337418730114,0.10187718998278103,0.5716251851393955,0.263014254776457,46.0168505330891,1.8325702890584281,6.064257641371228,1.0973708298108384,6.825654428214213,2.314049562772227,0.9269597490017114,3.0447187300687433,0.5756231248539351,3.8620772044408884,0.8268423989130045,2.450919724896836,0.3761341987213639,2.4587326569775567,0.37151976755177807,1.813252118327572,0.3543665420560747,0.014850523415977951,0.08729743325953902,,94.67,94.71,0.1,16.5,0.5,5.0,9.0,2.0,0.0,0.0,0.0
21,329-U1365E-5R-4-W 144/149,95.25,95.3,95.275,,,48.7,1.02,15.49,9.49,0.15,8.96,12.02176386913229,2.34,0.07,0.08662500000000001,1.6793282686925155,100.0077171378248,5.903731806355512,2.9302979929383204,389.38,240.28,11.64925109332329,0.1974940367094796,42.13241971866604,44.03413259802118,94.11647455020761,69.76789925534266,62.834819216735575,14.672314405252129,5.1708058370442,0.5678598132495464,97.18,20.347223248062843,47.0,0.9371947513658673,0.13725300830431292,0.5983155358256947,0.020045507714588108,3.014908972083266,1.7616545007451565,6.001576603489967,1.0940691702045542,6.921433872232188,2.286992029370063,0.9094439412997904,3.154780882451913,0.5962333650803129,3.9614312877930966,0.8464649345481221,2.5002999156765044,0.39756784713630905,2.5810857572955803,0.38274898499061916,1.7634103445932168,0.2636328492564778,0.04465199948813103,0.0313306826917967,,95.25,95.3,0.5,5.0,0.5,4.1,0.0,0.4,0.0,0.0,0.0
22,329-U1365E-6R-1-W 8/12,95.28,95.32,95.3,,,48.23,1.24,18.75,10.09,0.17,3.39,11.177596017069702,2.76,1.63,0.10725000000000001,2.038369304556397,99.5832153216261,2.2851398026729557,7.550955774807827,249.67,261.12,13.344843541472509,0.6179227820773112,37.582013366582366,37.41898321635405,58.37205414483407,112.8437767655027,73.93284679856005,15.964160123781522,5.643834029642505,13.281708117890382,160.47,17.18552379256252,65.53,1.5365742146856207,0.15490929743094925,0.7029393392002471,0.2820641315321379,70.53579724343759,2.739014342014835,8.596889408316398,1.3801982648337676,8.330920368491062,2.4565860068452023,1.0164955688622754,3.128255147261094,0.5640530000093467,3.7421492923021757,0.7624657450080332,2.223682861025579,0.36140700081874577,2.303829587519239,0.3441868082102873,2.266779740061162,1.2809019839041735,0.04442399338113623,0.3229542881333854,,95.28,95.32,1.5,9.0,0.0,5.0,2.5,1.5,0.0,0.0,0.0
23,329-U1365E-6R-1-W 26/30,95.46,95.5,95.47999999999999,,,47.981,1.0,15.325,9.62,0.16,9.51,11.859032716927453,2.21,0.08,0.0825,1.7974835230677733,99.62501623999522,6.179715457627119,2.7536494915254224,383.73,241.26,12.546145550329259,0.19250909179991982,40.52699890862945,44.40874601149336,99.50169833436152,66.76589298485054,66.26159512195122,14.208520915966389,5.111114469103126,0.7980731033505701,95.15,19.693595414717144,44.95,0.8688956116576946,0.18205748273215658,0.5227638203110002,0.028308675717783227,5.950556866537717,1.6899007725047885,5.7593484937238495,1.049119006916996,6.619786984951799,2.1948382542537677,0.8854868997668998,3.0198816634026926,0.571913865412841,3.806362312373846,0.8094716333622357,2.3889531288343555,0.38038042107603376,2.4711158499711487,0.37029600967842646,1.6846545009518628,0.4089076007144275,0.04122185903983658,0.028389409020217735,,95.46,95.5,4.0,4.5,0.5,3.8,0.0,0.2,0.0,0.0,0.0
24,329-U1365E-6R-2-W 19/23,96.77,96.81,96.78999999999999,,,48.077,0.96,15.881,8.541,0.15,7.98,13.364295874822192,2.43,0.12,0.07425,2.0983213429255616,99.67586721774778,4.976535662944162,3.0115159300620427,373.72,228.52,10.796735959737173,0.1985534380062804,42.383808976922715,43.883536560839254,95.15536277729376,64.44635171501473,57.82040573289502,14.721679550606405,4.7021133776775645,2.2207470922719046,114.05,18.8424457838436,43.14,0.878626702891877,0.16840692550790068,0.9028941559723593,0.03430702492436248,20.842974104035367,1.67702367403053,5.3041382757002955,0.9925928120080953,6.219710893134157,2.1378977871015263,0.8533864994298747,2.8305367049610854,0.5425502024147727,3.6631246031971165,0.7648683891514744,2.3012652104774034,0.3646938336157839,2.305847829592895,0.3478079942203565,1.638493647345094,0.30856158170914544,0.008936333517393702,0.09836017589576544,,96.77,96.81,0.1,16.0,0.5,6.0,3.0,6.5,0.0,0.0,0.0
25,329-U1365E-6R-2-W 99/103,97.57,97.61,97.59,,,48.764,1.0,15.65,9.63,0.15,9.05,12.5099573257468,2.23,0.05,0.0825,0.4994007191371136,99.61585804488391,6.331210014300306,2.5953222063329937,371.18,241.62,5.0542446236256,0.19248639882148116,41.28532123547206,43.54309277638265,91.46274245939676,68.52962696831186,60.642097872340415,14.466176187662581,5.157241309660175,0.8486814159292035,98.98,19.749086219239373,43.7,0.8853314094334359,0.14509480318596332,0.6683414398848092,0.029377255294313828,2.0210495411366924,1.7051525781748562,5.808498169511477,1.0542448260527169,6.664361183837138,2.1909594737673705,0.8973352834149758,3.035555173087959,0.5746072487131553,3.828707753556677,0.8173685065792766,2.4018017031070196,0.38370874970012,2.4773720155574765,0.3717884613466334,1.6892854111405835,0.2754275426874536,0.04211872730747182,0.0283130764348056,,97.57,97.61,0.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
26,329-U1365E-6R-4-W 8/10,99.03,99.05,99.03999999999999,A7,P7(F7),45.292,1.0,14.988,11.21,0.13,6.99,13.150711237553342,2.13,0.88,0.07425,3.9768185451640083,99.82177978271734,3.447419588484337,7.37953379057296,368.03,267.63,25.652408962624662,0.1945551125440325,39.73790352412808,34.294836235555486,57.25851818668093,33.57454415645396,62.490281117894284,14.487531554016622,5.907848555770471,13.692627906976742,100.37,19.010855941387895,44.99,0.9518864195485609,0.12541451541188486,0.5733841655623017,0.3986384648596786,18.754750947170255,1.6465009917257407,5.310036610348468,0.9850999308245514,6.254314256076674,2.1339218172074,0.8675723339982901,2.83699038220518,0.5377307625051974,3.700110874840357,0.7885414754134531,2.3046572578728974,0.36447431600826025,2.3576070766684434,0.35818368169836573,1.7247557008240895,0.45247661850253323,0.00908761746821446,0.10596438550762412,,,,,,,,,,,,
27,329-U1365E-6R-4-W 10/12,99.05,99.07,99.06,F7,,49.69,1.09,16.43,7.45,0.15,8.33,12.408250355618776,2.54,0.17,0.09075,1.38,99.7290003556188,4.114117993782383,2.8787577846862415,393.76,263.94,12.62326200525723,0.19118811775759476,44.27520361776926,48.15984337497561,107.50817064846419,70.61488776842467,68.5227406571849,15.297145452445989,4.170494933041398,1.7692592389088784,106.47,21.428325869797227,50.32,0.9824948825065275,0.11987400571031716,0.5952495939329941,0.02645940699611328,5.519935445480861,1.8902106761641506,6.491224418422085,1.176584960311332,7.457032994949792,2.4449946484887777,0.9771532026143791,3.330798044776119,0.6248957992758696,4.145762027424094,0.8800171818181819,2.5757898388334612,0.4043517766335228,2.59837183429229,0.38115426361655774,1.8568342903796433,0.3694854053520292,0.04643374856997584,0.04432820356753332,,,,,,,,,,,,
