,IGSN,EXPEDITION ID,REFERENCES,LATITUDE,LONGITUDE,LOC PREC,MIN ELEVATION,MAX ELEVATION,TECTONIC SETTING,MIN AGE,AGE,MAX AGE,METHOD,ANALYZED MATERIAL,ROCK TYPE,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2O_M,H2O_P,SO2,SO3,V2O3,V2O5,ZnO,CoO,La2O3,Ce2O3,O,Si,Fe,Mn,Ni,Co,Cu,Cd,Zn,As,Ag,FeS2,S,S_SLFI,SLFA,C_NON_CARB,CaCO3,CuO,Cu2O,Dy2O3,FeCO3,Gd2O3,HfO,HfO2,MgCO3,MnCO3,Nb2O3,Nb2O5,Nd2O3,Sc2O3,Sm2O3,Ta2O5,ThO,ThO2,UO2,WO3,Y2O3,ZrO2,Al,Ca,Mg,S_PY,TOC,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ag.1,Al.1,As.1,Au,B,Ba,Be,Bi,Br,C,Ca.1,Cd.1,Co.1,Cr,Cs,Cu.1,Ga,GER,Hf,Hg,I,INDIUM,Ir,K,Li,Mg.1,Mn.1,Mo,N,Na,Nb,Ni.1,Os,OS_INI,P,Pa,Pb,Pd,Pt,Rb,Re,Rh,Ru,S.1,Sb,Sc,Se,Si.1,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn.1,Zr,Zr2O3,Ti.1,As.2,As.3,GER.1,H2O_M.1,H2O_P.1,H2O_M.2,H2O_P.2,INDIUM.1,area,depth_start,depth_end,depth_mean,Depth,Unnamed: 0,Top Depth (m),Bottom Depth (m),Sample Pair,Sample Pair ID,TFe2O3,TOTAL,Ge,Coment,T Dep,B Dep,vesicles (%),Total Secondary mineral (%),Celadonite(%),Saponite (%),Fe-OX (%),Carbonate (%),Chalcedony (%),Zeolite (%),Quartz (%),CaO*,CIA*,CIA,SAMPLE_INFO,Depth_to_basement,Core_Site,Core_hole
ODP0185-0801C-018R-001/064-069,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.73,2.43,13.49,,15.45,,,,,0.243,6.38,10.71,,2.84,0.0694,0.235,,0.18,,,,,,,,,,,,,,,,47.1,42.5,63.2,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,15.1,2.76,14.9,5.26,1.78,7.18,1.32,8.35,1.79,5.09,,5.11,0.794,,,,,,9.72,0.69,,,,,,42.5,108.0,0.0035,63.2,19.3,,4.23,,,,,302.8791955644167,8.33,,,,,,3.1911688527886897,47.1,,,1950.7644373673038,,0.403,,,0.338,,,,,,45.4,,,,125.0,0.314,,0.1340073870423105,,,0.134,448.0,,57.1,110.0,166.0,,,,,,,,,,,Northwest,64.0,69.0,66.5,642.84,,,,,,,,,,,,,,,,,,,,,10.709503325255032,35.77293957640853,35.77379626255363,OLD_Oceanic_Crust,180.84000000000003,801,801
ODP0185-0801C-021R-002/086-089,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,43.13,1.76,12.67,,13.27,,,,,0.25,6.07,19.04,,2.5,0.252,0.2,,8.46,,,,,,,,,,,,,,,,65.4,43.2,48.3,,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72,14.2,2.52,13.4,4.57,1.57,6.58,1.21,7.76,1.74,5.02,,4.97,0.786,,,,,,9.33,0.615,,,,,,43.2,119.0,0.154,48.3,15.3,,2.97,,,,,1099.7918916748272,11.4,,,,,,3.3777257811506898,65.4,,,1660.2250530785566,,0.358,,,7.32,,,,,,38.9,,,,136.0,0.214,,0.2182478199915496,,,0.916,360.0,,56.2,87.5,118.0,,,,,,,,,,,Northwest,86.0,89.0,87.5,672.29,,,,,,,,,,,,,,,,,,,,,19.039577298089387,24.51909984342883,24.519464526040892,OLD_Oceanic_Crust,210.28999999999996,801,801
ODP0185-0801C-023R-003/080-084,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.29,2.27,14.13,,13.82,,,,,0.212,6.89,10.26,,3.02,0.0734,0.225,,0.18,,,,,,,,,,,,,,,,46.8,42.0,57.3,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43,14.7,2.62,14.2,4.92,1.7,6.73,1.23,7.82,1.71,4.77,,4.56,0.705,,,,,,9.19,0.561,,,,,,42.0,110.0,0.0024,57.3,19.3,,4.13,,,,,320.3362097179854,10.0,,,,,,3.177560253717284,46.8,,,1867.753184713376,,0.388,,,0.213,,,,,,48.9,,,,128.0,0.308,,0.1682386138845839,,,0.108,437.0,,50.6,117.0,170.0,,,,,,,,,,,Northwest,80.0,84.0,82.0,685.38,,,,,,,,,,,,,,,,,,,,,10.25952446035056,37.3490169316983,37.349870532480885,OLD_Oceanic_Crust,223.38,801,801
ODP0185-0801C-024R-001/046-049,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.99,2.01,13.28,,15.1,,,,,0.214,7.17,10.3,,2.78,0.12,0.193,,0.58,,,,,,,,,,,,,,,,53.2,42.0,45.4,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83,12.7,2.32,12.5,4.36,1.53,6.2,1.12,7.21,1.59,4.47,,4.35,0.688,,,,,,8.14,0.599,,,,,,42.0,109.0,0.0579,45.4,18.2,,3.89,,,,,523.7104246070605,10.3,,,,,,2.75187949146238,53.2,,,1602.117176220807,,0.598,,,3.24,,,,,,45.2,,,,122.0,0.295,,0.171537379517099,,,0.399,412.0,,49.2,99.9,150.0,,,,,,,,,,,Northwest,46.0,49.0,47.5,691.76,,,,,,,,,,,,,,,,,,,,,10.29959209265626,36.1747691126782,36.17549995841204,OLD_Oceanic_Crust,229.76,801,801
ODP0185-0801C-025R-001/010-013,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.56,2.01,13.74,,13.95,,,,,0.248,6.86,11.58,,2.68,0.0483,0.185,,0.67,,,,,,,,,,,,,,,,61.3,45.8,57.5,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,13.0,2.38,12.9,4.6,1.62,6.54,1.19,7.68,1.71,4.82,,4.67,0.731,,,,,,7.73,0.47,,,,,,45.8,207.0,0.0029,57.5,18.6,,3.8,,,,,210.7934459043419,8.01,,,,,,2.490867806180577,61.3,,,1535.7081740976646,,0.547,,,0.171,,,,,,48.0,,,,120.0,0.247,,0.1497880537849595,,,0.072,434.0,,49.4,110.0,137.0,,,,,,,,,,,Northwest,10.0,13.0,11.5,700.8,,,,,,,,,,,,,,,,,,,,,11.579609000732683,35.00114982134534,35.0017836963931,OLD_Oceanic_Crust,238.79999999999995,801,801
ODP0185-0801C-027R-003/066-069,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.64,1.76,13.99,,13.0,,,,,0.222,5.99,14.67,,2.45,0.099,0.175,,3.83,,,,,,,,,,,,,,,,64.6,43.7,57.3,,92.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,11.5,2.05,11.0,3.85,1.36,5.47,0.995,6.41,1.42,4.0,,3.88,0.606,,,,,,11.5,0.506,,,,,,43.7,195.0,0.0649,57.3,16.8,,3.16,,,,,432.061100300825,8.26,,,,,,2.2165187972875238,64.6,,,1452.6969214437368,,0.517,,,2.21,,,,,,43.9,,,,127.0,0.242,,0.1349572420601506,,,0.407,370.0,,44.9,92.2,116.0,,,,,,,,,,,Northwest,66.0,69.0,67.5,723.14,,,,,,,,,,,,,,,,,,,,,14.669630135828214,31.227257396524077,31.227726145909944,OLD_Oceanic_Crust,261.14,801,801
ODP0185-0801C-028R-001/110-114,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.75,1.55,13.31,,13.53,,,,,0.168,8.35,11.62,,2.51,0.554,0.18,,5.72,,,,,,,,,,,,,,,,63.6,35.4,70.5,,88.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,11.87,2.15,11.36,3.86,1.32,5.21,0.903,5.64,1.21,3.38,,3.26,0.511,,,,,,12.6,0.515,,,,,,35.4,172.0,0.241,70.5,15.5,,2.61,,,,,2417.796460269263,30.8,,,,,,2.510239747474191,63.6,,,1494.2025477707007,,0.416,,,10.6,,,,,,35.3,,,,123.0,0.219,,0.1507989223617318,,,0.131,305.0,,43.0,88.1,99.8,,,,,,,,,,,Northwest,110.0,114.0,112.0,729.8,,,,,,,,,,,,,,,,,,,,,11.619619568280449,33.98331693450602,33.98391711216286,OLD_Oceanic_Crust,267.79999999999995,801,801
ODP0185-0801C-028R-002/036-038,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.72,1.82,14.38,,13.4,,,,,0.243,7.15,12.45,,2.5,0.0525,0.177,,,,,,,,,,,,,,,,,,76.4,52.9,67.4,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94,12.5,2.26,11.9,4.12,1.45,5.75,1.04,6.74,1.49,4.2,,4.09,0.631,,,,,,11.8,0.53,,,,,,52.9,196.0,0.0202,67.4,16.4,,3.3,,,,,229.123310765589,6.77,,,,,,2.689428994122048,76.4,,,1469.2991719745223,,0.437,,,0.433,,,,,,44.4,,,,124.0,1.14,,0.157950520947651,,,0.0987,370.0,,46.0,101.0,118.0,,,,,,,,,,,Northwest,36.0,38.0,37.0,730.4,,,,,,,,,,,,,,,,,,,,,12.449625908809107,34.91467459669616,34.91525120875752,OLD_Oceanic_Crust,268.4,801,801
ODP0185-0801C-028R-002/100-104,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.17,1.57,13.77,,11.79,,,,,0.182,7.72,13.78,,2.38,0.591,0.137,,5.08,,,,,,,,,,,,,,,,81.3,45.7,63.2,,68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.51,1.72,9.32,3.25,1.16,4.67,0.842,5.45,1.2,3.47,,3.35,0.523,,,,,,19.3,0.556,,,,,,45.7,215.0,0.116,63.2,14.4,,2.6,,,,,2579.273841189773,17.1,,,,,,2.38170831918634,81.3,,,1137.2541613588112,,0.372,,,5.2,,,,,,38.7,,,,113.0,0.191,,0.1627733863553417,,,1.22,320.0,,36.1,68.7,109.0,,,,,,,,,,,Northwest,100.0,104.0,102.0,731.04,,,,,,,,,,,,,,,,,,,,,13.77971044919123,31.742899775904338,31.743285015808127,OLD_Oceanic_Crust,269.03999999999996,801,801
ODP0185-0801C-029R-001/016-018,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.39,2.43,13.55,,14.97,,,,,0.274,6.7,10.98,,2.72,0.108,0.244,,,,,,,,,,,,,,,,,,58.6,50.0,52.6,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84,16.3,2.99,16.3,5.72,1.91,7.98,1.44,9.3,2.06,5.8,,5.69,0.88,,,,,,6.75,0.685,,,,,,50.0,97.6,,52.6,19.5,,4.64,,,,,471.3393821463545,11.9,,,,,,3.310885623740566,58.6,,,2025.4745647558389,,0.402,,,0.355,,,,,,47.3,,,,117.0,0.694,,0.1528102629976083,,,0.672,459.0,,62.4,128.0,169.0,,,,,,,,,,,Northwest,16.0,18.0,17.0,738.06,,,,,,,,,,,,,,,,,,,,,10.979484303669054,35.55930799607968,35.560183008044696,OLD_Oceanic_Crust,276.05999999999995,801,801
ODP0185-0801C-030R-001/003-007,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.22,2.43,13.77,,16.61,,,,,0.163,7.11,9.18,,2.8,0.367,0.26,,2.4,,,,,,,,,,,,,,,,41.1,28.7,37.9,,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,15.23,2.81,15.36,5.44,1.78,7.57,1.33,8.42,1.8,4.99,,4.49,0.684,,,,,,7.97,0.567,,,,,,28.7,112.0,0.358,37.9,19.7,,4.39,,,,,1601.6810485899268,13.2,,,,,,3.053947739082463,41.1,,,2158.2925690021234,,0.483,,,13.8,,,,,,45.7,,,,121.0,0.3,,0.1622330044232122,,,0.234,446.0,,59.8,124.0,162.0,,,,,,,,,,,Northwest,3.0,7.0,5.0,747.33,,,,,,,,,,,,,,,,,,,,,9.179450487516203,38.827523681421,38.82861758036214,OLD_Oceanic_Crust,285.33000000000004,801,801
ODP0185-0801C-030R-001/111-114,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.09,2.25,13.02,,15.37,,,,,0.21,6.27,11.05,,2.6,0.0609,0.217,,0.51,,,,,,,,,,,,,,,,57.6,44.4,44.0,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,15.1,2.74,15.0,5.28,1.76,7.35,1.33,8.58,1.9,5.38,,5.25,0.814,,,,,,10.0,0.711,,,,,,44.4,98.8,0.0188,44.0,17.7,,4.29,,,,,265.78304048808326,7.51,,,,,,3.1164217706903465,57.6,,,1801.3441825902337,,0.132,,,0.565,,,,,,45.2,,,,111.0,0.311,,0.1597827711985905,,,0.103,434.0,,56.6,113.0,155.0,,,,,,,,,,,Northwest,111.0,114.0,112.5,748.41,,,,,,,,,,,,,,,,,,,,,11.049541368426986,34.76242087770253,34.76319484857722,OLD_Oceanic_Crust,286.40999999999997,801,801
ODP0185-0801C-030R-005/039-042,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.53,1.61,11.93,,12.69,,,,,0.197,7.14,15.07,,2.57,0.194,0.167,,6.97,,,,,,,,,,,,,,,,47.2,35.9,21.3,,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,11.0,1.97,10.5,3.7,1.25,5.29,0.961,6.35,1.42,4.14,,4.29,0.675,,,,,,6.05,0.569,,,,,,35.9,130.0,0.104,21.3,14.8,,2.81,,,,,846.6651864480813,12.8,,,,,,2.328852724465056,47.2,,,1386.2879193205947,,0.254,,,5.95,,,,,,37.6,,,,112.0,0.189,,0.1467258469580407,,,0.289,304.0,,46.6,62.3,112.0,,,,,,,,,,,Northwest,39.0,42.0,40.5,752.55,,,,,,,,,,,,,,,,,,,,,15.069647043904638,27.25728238714172,27.257682049893926,OLD_Oceanic_Crust,290.54999999999995,801,801
ODP0185-0801C-031R-004/043-045,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.66,2.25,12.83,,15.19,,,,,0.23,6.07,11.27,,2.63,0.0522,0.221,,0.15,,,,,,,,,,,,,,,,51.5,44.0,50.9,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,15.1,2.69,15.0,5.28,1.77,7.31,1.35,8.65,1.93,5.43,,5.38,0.841,,,,,,11.6,0.73,,,,,,44.0,103.0,0.0079,50.9,18.1,,4.31,,,,,227.81403470407136,7.6,,,,,,3.153294436338232,51.5,,,1834.5486836518048,,2.36,,,0.284,,,,,,45.8,,,,109.0,0.292,,0.162704116323077,,,0.0865,428.0,,59.1,117.0,157.0,,,,,,,,,,,Northwest,43.0,45.0,44.0,761.02,,,,,,,,,,,,,,,,,,,,,11.269532914388773,34.02805889840754,34.02882536975342,OLD_Oceanic_Crust,299.02,801,801
ODP0185-0801C-031R-007/007-010,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.12,2.05,11.7,,17.37,,,,,0.161,8.1,9.21,,2.27,0.428,0.212,,3.11,,,,,,,,,,,,,,,,44.6,29.7,18.4,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,13.8,2.45,13.1,4.63,1.57,6.63,1.22,7.72,1.69,4.82,,4.57,0.71,,,,,,8.71,0.751,,,,,,29.7,94.1,0.372,18.4,16.5,,3.54,,,,,1867.9005144318494,13.2,,,,,,3.703246275522251,44.6,,,1759.8385562632698,,0.241,,,15.6,,,,,,37.1,,,,102.0,0.231,,0.2265842492565388,,,0.119,499.0,,57.9,103.0,143.0,,,,,,,,,,,Northwest,7.0,10.0,8.5,764.81,,,,,,,,,,,,,,,,,,,,,9.209551935974751,35.842058989369605,35.84295351525159,OLD_Oceanic_Crust,302.80999999999995,801,801
ODP0185-0801C-032R-001/121-127,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51.34,1.59,10.62,,17.51,,,,,0.141,8.94,6.31,,2.29,1.83,0.175,,2.53,,,,,,,,,,,,,,,,42.6,27.7,24.0,,91.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,10.7,2.01,11.1,3.89,1.26,5.38,0.944,6.04,1.3,3.64,,3.49,0.541,,,,,,6.06,0.533,,,,,,27.7,70.7,0.511,24.0,18.2,,2.92,,,,,7986.583975257674,11.9,,,,,,2.0526056017018446,42.6,,,1452.6969214437368,,0.28,,,45.4,,,,,,31.2,,,,80.5,0.191,,0.1288337403446408,,,0.0386,309.0,,37.6,91.8,113.0,,,,,,,,,,,Northwest,121.0,127.0,124.0,767.51,,,,,,,,,,,,,,,,,,,,,6.309630135828214,38.14542048171174,38.1463418961385,OLD_Oceanic_Crust,305.51,801,801
ODP0185-0801C-034R-002/036-040,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,48.86,2.2,12.41,,17.27,,,,,0.186,5.95,9.43,,2.49,0.827,0.214,,1.96,,,,,,,,,,,,,,,,43.8,33.6,48.6,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.18,16.5,2.88,15.7,5.41,1.8,7.61,1.38,9.02,2.0,5.74,,5.8,0.914,,,,,,13.4,0.83,,,,,,33.6,92.7,0.601,48.6,17.6,,4.21,,,,,3609.2376762503254,14.1,,,,,,3.552976515980374,43.8,,,1776.4408067940553,,0.435,,,28.0,,,,,,43.2,,,,115.0,0.327,,0.1699044458713666,,,0.619,447.0,,59.3,115.0,160.0,,,,,,,,,,,Northwest,36.0,40.0,38.0,786.9,,,,,,,,,,,,,,,,,,,,,9.429547708955644,35.922073285041805,35.92292839367555,OLD_Oceanic_Crust,324.9,801,801
ODP0185-0801C-035R-003/100-104,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,50.64,2.37,13.09,,14.65,,,,,0.217,6.02,10.82,,2.76,0.126,0.239,,1.93,,,,,,,,,,,,,,,,53.2,47.8,63.8,,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,18.5,3.18,16.7,5.69,1.89,8.14,1.49,9.73,2.2,6.4,,6.27,0.989,,,,,,13.7,0.775,,,,,,47.8,98.4,0.0748,63.8,18.6,,4.38,,,,,549.8959458374136,15.4,,,,,,4.141356713464571,53.2,,,1983.968938428875,,0.451,,,2.08,,,,,,45.4,,,,124.0,0.315,,0.2346811473580645,,,0.806,458.0,,70.1,108.0,155.0,,,,,,,,,,,Northwest,100.0,104.0,102.0,798.62,,,,,,,,,,,,,,,,,,,,,10.819494871216818,34.96286168274637,34.963719370135735,OLD_Oceanic_Crust,336.62,801,801
ODP0185-0801C-037R-004/106-110,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,49.27,2.28,13.19,,15.41,,,,,0.216,6.1,10.83,,2.71,0.111,0.229,,0.58,,,,,,,,,,,,,,,,50.7,45.9,56.2,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84,16.6,2.97,16.3,5.65,1.88,7.84,1.41,9.13,2.01,5.69,,5.57,0.858,,,,,,14.1,0.8,,,,,,45.9,91.7,0.0078,56.2,18.8,,4.65,,,,,484.432142761531,7.79,,,,,,3.387595253452836,50.7,,,1900.9576857749473,,0.134,,,0.846,,,,,,46.5,,,,113.0,0.362,,0.1636188614167708,,,0.104,448.0,,57.7,120.0,173.0,,,,,,,,,,,Northwest,106.0,110.0,108.0,818.32,,,,,,,,,,,,,,,,,,,,,10.829516006312348,35.21143713783253,35.212264345523586,OLD_Oceanic_Crust,356.32000000000005,801,801
ODP0185-0801C-037R-005/112-114,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.87,1.91,10.95,,21.77,,,,,0.131,8.88,7.19,,2.43,0.433,0.207,,1.66,,,,,,,,,,,,,,,,30.3,16.7,17.7,,84.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,12.7,2.24,12.0,4.14,1.41,1.06,5.93,6.89,1.53,4.37,,4.35,0.685,,,,,,16.1,0.762,,,,,,16.7,89.2,0.313,17.7,14.7,,3.47,,,,,1889.7217821238103,9.52,,,,,,3.012617979657625,30.3,,,1718.3329299363058,,0.234,,,14.3,,,,,,33.9,,,,96.9,0.268,,0.1692862004795668,,,0.262,371.0,,47.5,84.4,123.0,,,,,,,,,,,Northwest,112.0,114.0,113.0,819.58,,,,,,,,,,,,,,,,,,,,,7.189562503522517,38.43579116846131,38.43686438208018,OLD_Oceanic_Crust,357.58000000000004,801,801
ODP0185-0801C-038R-001/022-027,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,46.38,2.19,12.67,,13.26,,,,,0.273,5.98,15.67,,2.57,0.187,0.21,,5.72,,,,,,,,,,,,,,,,60.0,45.8,67.3,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,14.4,2.6,13.9,4.87,1.62,6.85,1.26,8.02,1.76,5.01,,4.91,0.756,,,,,,14.1,0.633,,,,,,45.8,101.0,0.101,67.3,17.1,,3.78,,,,,816.115411679336,7.88,,,,,,3.293112123289527,60.0,,,1743.2363057324842,,0.481,,,4.57,,,,,,40.7,,,,125.0,0.376,,0.1672483037705696,,,0.564,391.0,,57.2,103.0,155.0,,,,,,,,,,,Northwest,22.0,27.0,24.5,823.02,,,,,,,,,,,,,,,,,,,,,15.669556162993857,27.79028993782116,27.790781844472708,OLD_Oceanic_Crust,361.02,801,801
ODP0185-0801C-038R-003/053-059,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,47.84,2.2,13.24,,17.14,,,,,0.0726,9.91,5.52,,2.66,0.616,0.169,,3.53,,,,,,,,,,,,,,,,53.2,36.8,67.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,12.8,2.34,12.5,4.4,1.49,6.14,1.11,7.08,1.59,4.46,,4.14,0.65,,,,,,15.3,0.592,,,,,,36.8,119.0,0.71,67.0,16.8,,3.56,,,,,2688.3801796495777,33.3,,,,,,3.347147139556069,53.2,,,1402.8901698513803,,1.48,,,19.0,,,,,,41.6,,,,107.0,0.246,,0.2122643455312484,,,0.634,382.0,,47.4,96.0,144.0,,,,,,,,,,,Northwest,53.0,59.0,56.0,826.29,,,,,,,,,,,,,,,,,,,,,5.519642816885532,46.752868602542776,46.75394079161689,OLD_Oceanic_Crust,364.28999999999996,801,801
ODP0185-0801C-042R-002/034-038,,ODP0185,"KELLEY, 2003",18.6423,156.36,0.0001,-5674.0,-5674.0,OLD_OCEANIC_CRUST,,,,ICPAES; ICPMS; IGN,WHOLE ROCK,IGNEOUS:VOLCANIC:MAFIC,BASALT,,51.3,1.72,14.81,,11.98,,,,,0.193,6.75,10.82,,2.82,0.187,0.173,,1.43,,,,,,,,,,,,,,,,77.2,55.3,56.5,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,11.2,2.04,11.0,3.83,1.38,5.41,0.971,6.24,1.36,3.86,,3.66,0.564,,,,,,11.4,0.52,,,,,,55.3,286.0,0.158,56.5,18.4,,3.13,,,,,816.115411679336,10.7,,,,,,2.093949492088373,77.2,,,1436.0946709129512,,0.372,,,4.75,,,,,,48.9,,,,129.0,0.207,,0.1371522406227909,,,0.791,391.0,,43.8,104.0,117.0,,,,,,,,,,,Northwest,34.0,38.0,36.0,861.55,,,,,,,,,,,,,,,,,,,,,10.81963436284732,37.66104159755782,37.66167828929458,OLD_Oceanic_Crust,399.54999999999995,801,801
